Title,Directors,Writers,Producers,Composers,releaseDate,Runtime,BoxOffice,Synopsis
Iron Man ,"[[""Jon Favreau"", ""/wiki/Jon_Favreau""]]","[[""Mark Fergus"", ""/wiki/Mark_Fergus""], [""Hawk Ostby"", ""/wiki/Hawk_Ostby""], [""Art Marcum"", ""/wiki/Art_Marcum""], [""Matt Holloway"", ""/wiki/Matt_Holloway""], [""John August"", ""/wiki/John_August""], [""J.J. Abrams"", ""/wiki/J.J._Abrams""]]","[[""Avi Arad"", ""/wiki/Avi_Arad""], [""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Peter Billingsley"", ""/wiki/Peter_Billingsley""], [""Jon Favreau"", ""/wiki/Jon_Favreau""], [""Ari Arad"", ""/wiki/Ari_Arad""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""David Maisel"", ""/wiki/David_Maisel""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Eric N. Heffron"", ""/wiki/Eric_N._Heffron""]]","[[""Ramin Djawadi"", ""/wiki/Ramin_Djawadi""], [""Hans Zimmer"", ""/wiki/Hans_Zimmer""], [""[2]"", ""#cite_note-2""], [""Clay Duncan"", ""/wiki/Clay_Duncan""], [""Lorne Balfe"", ""/wiki/Lorne_Balfe""]]","April 30, 2008 (international)May 2, 2008 (U.S.)",126 minutes,$585.2 million,"[""2008's Iron Man tells the story of Tony Stark, a billionaire industrialist and genius inventor who is kidnapped and forced to build a devastating weapon. Instead, using his intelligence and ingenuity, Tony builds a high-tech suit of armor and escapes captivity. When he uncovers a nefarious plot with global implications, he dons his powerful armor and vows to protect the world as Iron Man.[3]\n""]"
Captain Marvel ,"[[""Anna Boden"", ""/wiki/Anna_Boden""], [""Ryan Fleck"", ""/wiki/Ryan_Fleck""]]","[[""Anna Boden"", ""/wiki/Anna_Boden""], [""Ryan Fleck"", ""/wiki/Ryan_Fleck""], [""Geneva Robertson-Dworet"", ""/wiki/Geneva_Robertson-Dworet""], [""Nicole Perlman"", ""/wiki/Nicole_Perlman""], [""Meg LeFauve"", ""/wiki/Meg_LeFauve""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Jonathan Schwartz"", ""/wiki/Jonathan_Schwartz""], [""Patricia Whitcher"", ""/wiki/Patricia_Whitcher""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""Lars P. Winther"", ""/wiki/Lars_P._Winther""], [""David J. Grant"", ""/wiki/David_J._Grant""], [""Kelly Sue DeConnick"", ""/wiki/Kelly_Sue_DeConnick""]]","[[""Pinar Toprak"", ""/wiki/Pinar_Toprak""]]","March 8, 2019",124 minutes,$1.128 billion,"[""Set in the 1990s, Marvel Studios\u2019 \u201cCaptain Marvel\u201d is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe that follows the journey of Carol Danvers as she becomes one of the universe\u2019s most powerful heroes. While a galactic war between two alien races reaches Earth, Danvers finds herself and a small cadre of allies at the center of the maelstrom.[1]\n""]"
Iron Man 2 ,"[[""Jon Favreau"", ""/wiki/Jon_Favreau""]]","[[""Justin Theroux"", ""/wiki/Justin_Theroux""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Alan Fine"", ""/wiki/Alan_Fine""], [""David Maisel"", ""/wiki/David_Maisel""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""Denis L. Stewart"", ""/wiki/Denis_L._Stewart""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Jon Favreau"", ""/wiki/Jon_Favreau""], [""Susan Downey"", ""/wiki/Susan_Downey""], [""Jeremy Latcham"", ""/wiki/Jeremy_Latcham""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Karen Johnson"", ""/wiki/Karen_Johnson""], [""Eric N. Heffron"", ""/wiki/Eric_N._Heffron""]]","[[""John Debney"", ""/wiki/John_Debney""]]","April 28, 2010 (international)May 7, 2010 (U.S.)",125 minutes,$623.9 million,"[""With the world now aware that he is Iron Man, billionaire inventor Tony Stark faces pressure from all sides to share his technology with the military. He is reluctant to divulge the secrets of his armored suit, fearing the information will fall into the wrong hands. With Pepper Potts and \""Rhodey\"" Rhodes by his side, Tony must forge new alliances and confront a powerful new enemy.\n""]"
Guardians of the Galaxy Vol. 3 ,"[[""James Gunn"", ""/wiki/James_Gunn""], [""[1]"", ""#cite_note-Reinstated-1""]]","[[""James Gunn"", ""/wiki/James_Gunn""], [""[2]"", ""#cite_note-Collider-2""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Nikolas Korda"", ""/wiki/Nikolas_Korda""], [""Sara Smith"", ""/wiki/Sara_Smith""], [""Jonathan Schwartz"", ""/wiki/Jonathan_Schwartz""]]","[[""John Murphy"", ""/wiki/John_Murphy""], [""[3]"", ""#cite_note-Murphy-3""]]","May 5, 2023[4]",,,"[""To be added\n""]"
Doctor Strange ,"[[""Scott Derrickson"", ""/wiki/Scott_Derrickson""]]","[[""Thomas Dean Donnelly"", ""/wiki/Thomas_Dean_Donnelly""], [""Joshua Oppenheimer"", ""/wiki/Joshua_Oppenheimer""], [""Scott Derrickson"", ""/wiki/Scott_Derrickson""], [""Jon Spaihts"", ""/wiki/Jon_Spaihts""], [""C. Robert Cargill"", ""/wiki/C._Robert_Cargill""], [""[2]"", ""#cite_note-2""], [""Dan Harmon"", ""/wiki/Dan_Harmon""], [""[3]"", ""#cite_note-3""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Charles Newirth"", ""/wiki/Charles_Newirth""], [""Stephen Broussard"", ""/wiki/Stephen_Broussard""], [""Stan Lee"", ""/wiki/Stan_Lee""]]","[[""Michael Giacchino"", ""/wiki/Michael_Giacchino""]]","October 25, 2016 (international)November 4, 2016 (U.S.)",115 minutes,$677.7 million,"[""From Marvel Studios comes Doctor Strange, the story of the world-famous neurosurgeon Dr. Stephen Strange whose life changes forever after a horrific car accident robs him of the use of his hands. When traditional medicine fails him, he is forced to look for healing, and hope, in an unlikely place - a mysterious enclave known as Kamar-Taj. He quickly learns that this is not just a center for healing but also the front line of a battle against unseen dark forces bent on destroying our reality. Before long Strange -- armed with newly acquired magical powers - is forced to choose whether to return to his life of fortune and status or leave it all behind to defend the world as the most powerful sorcerer in existence.[4]\n""]"
Avengers: Endgame ,"[[""Joe Russo"", ""/wiki/Joe_Russo""], [""Anthony Russo"", ""/wiki/Anthony_Russo""]]","[[""Christopher Markus"", ""/wiki/Christopher_Markus""], [""Stephen McFeely"", ""/wiki/Stephen_McFeely""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""James Gunn"", ""/wiki/James_Gunn""], [""Jon Favreau"", ""/wiki/Jon_Favreau""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Michael Grillo"", ""/wiki/Michael_Grillo""], [""Trinh Tran"", ""/wiki/Trinh_Tran""]]","[[""Alan Silvestri"", ""/wiki/Alan_Silvestri""]]","April 26, 2019June 28, 2019 (re-release)",181 minutes,$2.798 billion,"[""The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, Avengers: Endgame.\n""]"
Eternals ,"[[""Chlo\u00e9 Zhao"", ""/wiki/Chlo%C3%A9_Zhao""]]","[[""Chlo\u00e9 Zhao"", ""/wiki/Chlo%C3%A9_Zhao""], [""Patrick Burleigh"", ""/wiki/Patrick_Burleigh""], [""Ryan Firpo"", ""/wiki/Ryan_Firpo""], [""Matthew K. Firpo"", ""/wiki/Matthew_K._Firpo""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Nate Moore"", ""/wiki/Nate_Moore""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Kevin De La Noy"", ""/wiki/Kevin_De_La_Noy""]]","[[""Ramin Djawadi"", ""/wiki/Ramin_Djawadi""], [""Brandon Campbell"", ""/wiki/Brandon_Campbell""]]","November 5, 2021",157 minutes,$400.2 million,"[""Marvel Studios' Eternals features an exciting new team of Super Heroes in the Marvel Cinematic Universe, ancient aliens who have been living on Earth in secret for thousands of years. Following the events of Avengers: Endgame, an unexpected tragedy forces them out of the shadows to reunite against mankind's most ancient enemy, the Deviants.\n""]"
Iron Man 3 ,"[[""Shane Black"", ""/wiki/Shane_Black""]]","[[""Drew Pearce"", ""/wiki/Drew_Pearce""], [""Shane Black"", ""/wiki/Shane_Black""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Jon Favreau"", ""/wiki/Jon_Favreau""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Mitchell Bell"", ""/wiki/Mitchell_Bell""], [""Stephen Broussard"", ""/wiki/Stephen_Broussard""], [""Brad Winderbaum"", ""/wiki/Brad_Winderbaum""], [""Alan Fine"", ""/wiki/Alan_Fine""], [""Stan Lee"", ""/wiki/Stan_Lee""]]","[[""Brian Tyler"", ""/wiki/Brian_Tyler""]]","April 24, 2013 (international)May 3, 2013 (U.S.)",130 minutes,$1.215 billion,"[""Marvel's Iron Man 3 pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?[1]\n""]"
Black Widow ,"[[""Cate Shortland"", ""/wiki/Cate_Shortland""]]","[[""Eric Pearson"", ""/wiki/Eric_Pearson""], [""Jac Schaeffer"", ""/wiki/Jac_Schaeffer""], [""Ned Benson"", ""/wiki/Ned_Benson""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Scarlett Johansson"", ""/wiki/Scarlett_Johansson""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Brad Winderbaum"", ""/wiki/Brad_Winderbaum""], [""Nigel Gostelow"", ""/wiki/Nigel_Gostelow""]]","[[""Lorne Balfe"", ""/wiki/Lorne_Balfe""], [""Sven Faulconer"", ""/wiki/Sven_Faulconer""]]","July 9, 2021",134 minutes,$379.2 million$125 million (streaming),"[""In Marvel Studios' action-packed spy thriller Black Widow, Natasha Romanoff, aka Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.[1]\n""]"
The Marvels ,"[[""Nia DaCosta"", ""/wiki/Nia_DaCosta""], [""[1]"", ""#cite_note-DeadlineDirector-1""]]","[[""Megan McDonnell"", ""/wiki/Megan_McDonnell""], [""[2]"", ""#cite_note-Writer-2""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Mary Livanos"", ""/wiki/Mary_Livanos""], [""Matthew Jenkins"", ""/wiki/Matthew_Jenkins""]]",[],"February 17, 2023[3]",,,"[""Marvel Studios' The Marvels will feature Brie Larson returning to the role of Captain Marvel/Carol Danvers. In the film, she\u2019ll be joined by Teyonah Parris, who was first introduced as adult Monica Rambeau in Marvel Studios' WandaVision, along with Iman Vellani, who will appear as Ms. Marvel in the upcoming Disney+ series of the same name. Prepare to experience it and fly higher, further, and faster with the film, directed by Nia DaCosta![5]\n""]"
