Title,Directors,Writers,Producers,Composers,releaseDate,Runtime,BoxOffice,Synopsis
Ant-Man and the Wasp ,"[[""Peyton Reed"", ""/wiki/Peyton_Reed""]]","[[""Chris McKenna"", ""/wiki/Chris_McKenna""], [""Erik Sommers"", ""/wiki/Erik_Sommers""], [""Paul Rudd"", ""/wiki/Paul_Rudd""], [""Andrew Barrer"", ""/wiki/Andrew_Barrer""], [""Gabriel Ferrari"", ""/wiki/Gabriel_Ferrari""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Stephen Broussard"", ""/wiki/Stephen_Broussard""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Charles Newirth"", ""/wiki/Charles_Newirth""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""Mitchell Bell"", ""/wiki/Mitchell_Bell""], [""Lars P. Winther"", ""/wiki/Lars_P._Winther""]]","[[""Christophe Beck"", ""/wiki/Christophe_Beck""]]","July 4, 2018 (international)July 6, 2018 (U.S.)August 3, 2018 (U.K.)",118 minutes,$622.7 million,"[""From the Marvel Cinematic Universe comes a new chapter featuring heroes with the astonishing ability to shrink: Ant-Man and the Wasp. In the aftermath of Captain America: Civil War, Scott Lang grapples with the consequences of his choices as both a superhero and a father. As he struggles to rebalance his home life with his responsibilities as Ant-Man, he's confronted by Hope van Dyne and Dr. Hank Pym with an urgent new mission. Scott must once again put on the suit and learn to fight alongside The Wasp as the team works together to uncover secrets from their past.[1]\n""]"
Black Panther: Wakanda Forever ,"[[""Ryan Coogler"", ""/wiki/Ryan_Coogler""], [""[1]"", ""#cite_note-RC-1""]]","[[""Ryan Coogler"", ""/wiki/Ryan_Coogler""], [""[1]"", ""#cite_note-RC-1""], [""Joe Robert Cole"", ""/wiki/Joe_Robert_Cole""], [""[2]"", ""#cite_note-RT-2""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Nate Moore"", ""/wiki/Nate_Moore""]]","[[""Ludwig G\u00f6ransson"", ""/wiki/Ludwig_G%C3%B6ransson""], [""[3]"", ""#cite_note-LG-3""]]","November 11, 2022[4]",,,"[""Marvel Studios\u2019 Black Panther: Wakanda Forever will continue to explore the incomparable world of Wakanda and all of the rich and varied characters introduced in the first film.[5]\n""]"
Thor ,"[[""Kenneth Branagh"", ""/wiki/Kenneth_Branagh""]]","[[""Ashley Edward Miller"", ""/wiki/Ashley_Edward_Miller""], [""Zack Stentz"", ""/wiki/Zack_Stentz""], [""Don Payne"", ""/wiki/Don_Payne""], [""J. Michael Straczynski"", ""/wiki/J._Michael_Straczynski""], [""Mark Protosevich"", ""/wiki/Mark_Protosevich""], [""Nicole Perlman"", ""/wiki/Nicole_Perlman""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Mike Bodkin"", ""/wiki/Mike_Bodkin""], [""Michael Chong"", ""/wiki/Michael_Chong""], [""Alan Fine"", ""/wiki/Alan_Fine""], [""David J. Grant"", ""/wiki/David_J._Grant""], [""Craig Kyle"", ""/wiki/Craig_Kyle""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""David Maisel"", ""/wiki/David_Maisel""], [""Patricia Whitcher"", ""/wiki/Patricia_Whitcher""]]","[[""Patrick Doyle"", ""/wiki/Patrick_Doyle""]]","April 21, 2011 (Australia)April 27, 2011 (international)May 6, 2011 (U.S.)",114 minutes,$449.3 million,"[""As the son of Odin, king of the Norse gods, Thor will soon inherit the throne of Asgard from his aging father. However, on the day that he is to be crowned, Thor reacts with brutality when the gods' enemies, the Frost Giants, enter the palace in violation of their treaty. As punishment, Odin banishes Thor to Earth. While Loki, Thor's brother, plots mischief in Asgard, Thor, now stripped of his powers, faces his greatest threat.[1]\n""]"
Ant-Man ,"[[""Peyton Reed"", ""/wiki/Peyton_Reed""]]","[[""Edgar Wright"", ""/wiki/Edgar_Wright""], [""Joe Cornish"", ""/wiki/Joe_Cornish""], [""Adam McKay"", ""/wiki/Adam_McKay""], [""Paul Rudd"", ""/wiki/Paul_Rudd""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Alan Fine"", ""/wiki/Alan_Fine""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Michael Grillo"", ""/wiki/Michael_Grillo""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""Edgar Wright"", ""/wiki/Edgar_Wright""], [""Brad Winderbaum"", ""/wiki/Brad_Winderbaum""], [""David J. Grant"", ""/wiki/David_J._Grant""]]","[[""Christophe Beck"", ""/wiki/Christophe_Beck""]]","July 14, 2015 (international)July 17, 2015 (U.K. & U.S.)",117 minutes,$519.4 million,"[""The next evolution of the Marvel Cinematic Universe brings a founding member of The Avengers to the big screen for the first time with Marvel Studios' \""Ant-Man.\"" Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.[1]\n""]"
Captain America: Civil War ,"[[""Joe Russo"", ""/wiki/Joe_Russo""], [""Anthony Russo"", ""/wiki/Anthony_Russo""]]","[[""Stephen McFeely"", ""/wiki/Stephen_McFeely""], [""Christopher Markus"", ""/wiki/Christopher_Markus""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Mitchell Bell"", ""/wiki/Mitchell_Bell""], [""Lars P. Winther"", ""/wiki/Lars_P._Winther""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""Nate Moore"", ""/wiki/Nate_Moore""]]","[[""Henry Jackman"", ""/wiki/Henry_Jackman""]]","April 27, 2016 (international)May 6, 2016 (U.S.)",147 minutes,$1.153 billion,"[""Marvel\u2019s Captain America: Civil War finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps\u2014one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark\u2019s surprising decision to support government oversight and accountability.\n""]"
Spider-Man: Far From Home ,"[[""Jon Watts"", ""/wiki/Jon_Watts""]]","[[""Chris McKenna"", ""/wiki/Chris_McKenna""], [""Erik Sommers"", ""/wiki/Erik_Sommers""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Amy Pascal"", ""/wiki/Amy_Pascal""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Thomas M. Hammel"", ""/wiki/Thomas_M._Hammel""], [""Eric Hauserman Carroll"", ""/wiki/Eric_Hauserman_Carroll""], [""Rachel O'Connor"", ""/wiki/Rachel_O%27Connor""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""Avi Arad"", ""/wiki/Avi_Arad""], [""Matthew Tolmach"", ""/wiki/Matthew_Tolmach""]]","[[""Michael Giacchino"", ""/wiki/Michael_Giacchino""]]","July 2, 2019August 30, 2019 (re-release)",129 minutes,$1.131 billion,"[""Peter Parker returns in Spider-Man: Far From Home, the next chapter of the Spider-Man: Homecoming series! Our friendly neighborhood Super Hero decides to join his best friends Ned, MJ, and the rest of the gang on a European vacation. However, Peter's plan to leave super heroics behind for a few weeks are quickly scrapped when he begrudgingly agrees to help Nick Fury uncover the mystery of several elemental creature attacks, creating havoc across the continent![2]\n""]"
Ant-Man and the Wasp: Quantumania ,"[[""Peyton Reed"", ""/wiki/Peyton_Reed""], [""[1]"", ""#cite_note-THR-1""]]","[[""Jeff Loveness"", ""/wiki/Jeff_Loveness""], [""[2]"", ""#cite_note-THRWriter-2""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""]]",[],"July 28, 2023[3]",,,"[""To be added\n""]"
Thor: Love and Thunder ,"[[""Taika Waititi"", ""/wiki/Taika_Waititi""], [""[1]"", ""#cite_note-Thor4-1""]]","[[""Taika Waititi"", ""/wiki/Taika_Waititi""], [""[1]"", ""#cite_note-Thor4-1""], [""Jennifer Kaytin Robinson"", ""/wiki/Jennifer_Kaytin_Robinson""], [""[2]"", ""#cite_note-Robinson-2""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Brad Winderbaum"", ""/wiki/Brad_Winderbaum""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Todd Hallowell"", ""/wiki/Todd_Hallowell""]]","[[""Michael Giacchino"", ""/wiki/Michael_Giacchino""], [""[3]"", ""#cite_note-Giacchino-3""]]","July 8, 2022[4]",,,"[""To be added\n""]"
Thor: Ragnarok ,"[[""Taika Waititi"", ""/wiki/Taika_Waititi""]]","[[""Eric Pearson"", ""/wiki/Eric_Pearson""], [""Stephany Folsom"", ""/wiki/Stephany_Folsom""], [""Craig Kyle"", ""/wiki/Craig_Kyle""], [""Christopher Yost"", ""/wiki/Christopher_Yost""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Brad Winderbaum"", ""/wiki/Brad_Winderbaum""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Thomas M. Hammel"", ""/wiki/Thomas_M._Hammel""], [""Stan Lee"", ""/wiki/Stan_Lee""]]","[[""Mark Mothersbaugh"", ""/wiki/Mark_Mothersbaugh""]]","October 24, 2017 (international)November 3, 2017 (U.S.)",130 minutes,$854.0 million,"[""Thor's world is about to explode in Marvel's Thor: Ragnarok. His devious brother, Loki, has taken over Asgard, the powerful Hela has emerged to steal the throne for herself and Thor is imprisoned on the other side of the universe. To escape captivity and save his home from imminent destruction, Thor must first win a deadly alien contest by defeating his former ally and fellow Avenger... The Incredible Hulk!\n""]"
Black Panther ,"[[""Ryan Coogler"", ""/wiki/Ryan_Coogler""]]","[[""Joe Robert Cole"", ""/wiki/Joe_Robert_Cole""], [""Ryan Coogler"", ""/wiki/Ryan_Coogler""], [""Donald Glover"", ""/wiki/Donald_Glover""], [""[1]"", ""#cite_note-Collider-1""], [""Stephen Glover"", ""/wiki/Stephen_Glover""], [""[1]"", ""#cite_note-Collider-1""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Nate Moore"", ""/wiki/Nate_Moore""], [""Jeffrey Chernov"", ""/wiki/Jeffrey_Chernov""], [""Stan Lee"", ""/wiki/Stan_Lee""]]","[[""Ludwig G\u00f6ransson"", ""/wiki/Ludwig_G%C3%B6ransson""]]","February 13, 2018 (international)February 16, 2018 (U.S.)",134 minutes,$1.347 billion,"[""Marvel Studios' Black Panther follows T'Challa who, after the events of Captain America: Civil War, returns home to the isolated, technologically advanced African nation of Wakanda to take his place as King. However, when an old enemy reappears on the radar, T'Challa's mettle as King and Black Panther is tested when he is drawn into a conflict that puts the entire fate of Wakanda and the world at risk.[2]\n""]"
Guardians of the Galaxy ,"[[""James Gunn"", ""/wiki/James_Gunn""]]","[[""James Gunn"", ""/wiki/James_Gunn""], [""Chris McCoy"", ""/wiki/Chris_McCoy""], [""Nicole Perlman"", ""/wiki/Nicole_Perlman""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""David J. Grant"", ""/wiki/David_J._Grant""], [""Jonathan Schwartz"", ""/wiki/Jonathan_Schwartz""], [""Nikolas Korda"", ""/wiki/Nikolas_Korda""], [""Stan Lee"", ""/wiki/Stan_Lee""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Jeremy Latcham"", ""/wiki/Jeremy_Latcham""], [""Alan Fine"", ""/wiki/Alan_Fine""]]","[[""Tyler Bates"", ""/wiki/Tyler_Bates""]]","July 31, 2014 (U.K.)August 1, 2014 (U.S.)",122 minutes,$773.3 million,"[""An action-packed, epic space adventure, Marvel's \""Guardians of the Galaxy,\"" expands the Marvel Cinematic Universe into the cosmos, where brash adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits--Rocket, a gun-toting raccoon; Groot, a tree-like humanoid; the deadly and enigmatic Gamora; and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last, desperate stand--with the galaxy's fate in the balance.[1]\n""]"
Blade ,"[[""Bassam Tariq"", ""/wiki/Bassam_Tariq""], [""[1]"", ""#cite_note-DL-1""]]","[[""Stacy Osei-Kuffour"", ""/wiki/Stacy_Osei-Kuffour""], [""[2]"", ""#cite_note-THR-2""], [""Bassam Tariq"", ""/wiki/Bassam_Tariq""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Eric Hauserman Carroll"", ""/wiki/Eric_Hauserman_Carroll""]]",[],,,,"[""To be added\n""]"
Thor: The Dark World ,"[[""Alan Taylor"", ""/wiki/Alan_Taylor""]]","[[""Christopher Yost"", ""/wiki/Christopher_Yost""], [""Christopher Markus"", ""/wiki/Christopher_Markus""], [""Stephen McFeely"", ""/wiki/Stephen_McFeely""], [""Don Payne"", ""/wiki/Don_Payne""], [""Robert Rodat"", ""/wiki/Robert_Rodat""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Craig Kyle"", ""/wiki/Craig_Kyle""], [""Alan Fine"", ""/wiki/Alan_Fine""], [""Nigel Gostelow"", ""/wiki/Nigel_Gostelow""], [""Stan Lee"", ""/wiki/Stan_Lee""]]","[[""Brian Tyler"", ""/wiki/Brian_Tyler""]]","October 30, 2013 (international)November 8, 2013 (U.S.)",112 minutes,$644.6 million,"[""In the aftermath of Marvel's \""Thor\"" and \""Marvel's The Avengers,\"" Thor fights to restore order across the cosmos...but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.\n""]"
Captain America 4 ,[],"[[""Malcolm Spellman"", ""/wiki/Malcolm_Spellman""], [""[1]"", ""#cite_note-Hollywood_Reporter-1""], [""Dalan Musson"", ""/wiki/Dalan_Musson""], [""[1]"", ""#cite_note-Hollywood_Reporter-1""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""]]",[],,,,"[""To be added\n""]"
Daredevil ,[],[],[],"[[""John Paesano"", ""/wiki/John_Paesano""]]",,,,
The Dark at the End of the Tunnel ,"[[""Euros Lyn"", ""/wiki/Euros_Lyn""]]","[[""Lauren Schmidt Hissrich"", ""/wiki/Lauren_Schmidt_Hissrich""], [""Douglas Petrie"", ""/wiki/Douglas_Petrie""]]",[],[],,,,"[""Daredevil goes underground to save an old friend. Karen follows a dangerous lead. The law firm of Nelson & Murdock may have reached its final chapter.\n""]"
Doctor Strange in the Multiverse of Madness ,"[[""Sam Raimi"", ""/wiki/Sam_Raimi""]]","[[""Michael Waldron"", ""/wiki/Michael_Waldron""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Louis D'Esposito"", ""/wiki/Louis_D%27Esposito""], [""Victoria Alonso"", ""/wiki/Victoria_Alonso""], [""Scott Derrickson"", ""/wiki/Scott_Derrickson""]]","[[""Danny Elfman"", ""/wiki/Danny_Elfman""], [""[1]"", ""#cite_note-Inverse-1""]]","May 6, 2022[2]",,,"[""After the events of Avengers: Endgame, Dr. Stephen Strange's continuing research on the Time Stone is hindered by a friend-turned-enemy, resulting in Strange unleashing unspeakable evil.[3]\n""]"
Jessica Jones ,[],[],[],"[[""Sean Callery"", ""/wiki/Sean_Callery""]]",,,,
AKA Sin Bin ,"[[""John Dahl"", ""/wiki/John_Dahl""]]","[[""Jamie King"", ""/wiki/Jamie_King_(writer)""], [""Dana Baratta"", ""/wiki/Dana_Baratta""]]",[],[],,,,"[""Just when Jessica has Kilgrave right where she wants him, Hogarth's involvement complicates the situation. Details of Kilgrave's past emerge.\n""]"
The Man in the Box ,"[[""Peter Hoar"", ""/wiki/Peter_Hoar""]]","[[""Whit Anderson"", ""/wiki/Whit_Anderson""], [""Sneha Koorse"", ""/wiki/Sneha_Koorse""], [""John C. Kelley"", ""/wiki/John_C._Kelley""]]",[],[],,,,"[""Murdock and Foggy get caught in the crossfire of the Punisher's revenge. Karen and Murdock dig for the truth in very different ways.\n""]"
Shang-Chi 2 ,"[[""Destin Daniel Cretton"", ""/wiki/Destin_Daniel_Cretton""], [""[1]"", ""#cite_note-Deadline-1""]]","[[""Destin Daniel Cretton"", ""/wiki/Destin_Daniel_Cretton""], [""[1]"", ""#cite_note-Deadline-1""]]","[[""Kevin Feige"", ""/wiki/Kevin_Feige""]]",[],,,,"[""To be added\n""]"
Spider-Man 4 ,[],[],"[[""Kevin Feige"", ""/wiki/Kevin_Feige""], [""Amy Pascal"", ""/wiki/Amy_Pascal""], [""Avi Arad"", ""/wiki/Avi_Arad""]]",[],,,,"[""To be added\n""]"
