Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,^STOXX50E,^STOXX50E,^STOXX50E,^STOXX50E,^STOXX50E,^STOXX50E
Date,,,,,,
2016-01-04,3164.760009765625,3164.760009765625,3266.010009765625,3147.8798828125,3266.010009765625,56241300
2016-01-05,3178.010009765625,3178.010009765625,3195.7900390625,3136.320068359375,3173.14990234375,40188200
2016-01-06,3139.320068359375,3139.320068359375,3172.550048828125,3110.7900390625,3170.639892578125,51327000
2016-01-07,3084.679931640625,3084.679931640625,3130.4599609375,3027.570068359375,3130.4599609375,74948800
2016-01-08,3033.469970703125,3033.469970703125,3114.449951171875,3033.469970703125,3087.419921875,57692600
2016-01-11,3027.489990234375,3027.489990234375,3074.780029296875,3027.489990234375,3030.31005859375,61262000
2016-01-12,3064.659912109375,3064.659912109375,3099.5400390625,3019.679931640625,3026.699951171875,52872600
2016-01-13,3073.02001953125,3073.02001953125,3124.97998046875,3060.159912109375,3084.8701171875,53731300
2016-01-14,3024.0,3024.0,3064.989990234375,2972.179931640625,3064.989990234375,65110300
2016-01-15,2952.47998046875,2952.47998046875,3028.639892578125,2931.239990234375,3023.679931640625,92082700
2016-01-18,2935.389892578125,2935.389892578125,2983.2900390625,2915.659912109375,2951.169921875,56002000
2016-01-19,2980.489990234375,2980.489990234375,3008.510009765625,2956.590087890625,2956.590087890625,63576500
2016-01-20,2882.590087890625,2882.590087890625,2947.840087890625,2855.43994140625,2947.840087890625,83727700
2016-01-21,2943.919921875,2943.919921875,2967.169921875,2874.31005859375,2884.530029296875,94843300
2016-01-22,3023.2099609375,3023.2099609375,3046.2900390625,2949.93994140625,2949.93994140625,79292900
2016-01-25,3001.780029296875,3001.780029296875,3037.1201171875,2987.949951171875,3029.449951171875,55659600
2016-01-26,3032.840087890625,3032.840087890625,3041.669921875,2945.31005859375,2975.81005859375,76968900
2016-01-27,3043.469970703125,3043.469970703125,3043.469970703125,2997.7099609375,3024.830078125,53250300
2016-01-28,2979.419921875,2979.419921875,3055.3798828125,2955.860107421875,3037.030029296875,74372000
2016-01-29,3045.090087890625,3045.090087890625,3045.090087890625,2989.47998046875,2989.47998046875,64531900
2016-02-01,3021.010009765625,3021.010009765625,3051.840087890625,2989.8798828125,3048.75,55395900
2016-02-02,2951.85009765625,2951.85009765625,3014.97998046875,2933.169921875,3014.97998046875,62895900
2016-02-03,2896.6298828125,2896.6298828125,2948.179931640625,2862.39990234375,2945.5,84603500
2016-02-04,2905.300048828125,2905.300048828125,2936.1201171875,2866.18994140625,2906.820068359375,77181000
2016-02-05,2879.389892578125,2879.389892578125,2932.85009765625,2869.919921875,2908.0,84402300
2016-02-08,2785.169921875,2785.169921875,2894.469970703125,2772.699951171875,2885.56005859375,78091800
2016-02-09,2736.5,2736.5,2809.409912109375,2710.889892578125,2789.280029296875,99877700
