Aeroporto,Anno,Periodo,Zona,Pass_Arrivo,Pass_Partenza
Olbia,2022,S5,03,45653,52979
Olbia,2022,S5,04,10565,13234
Olbia,2022,S5,02,105147,130444
Alghero,2022,W1,02,31577,33286
Alghero,2022,W1,03 + 04,35758,38067
Alghero,2022,W1,13 + 14,3738,3603
Alghero,2022,W1,11 + 12,5280,5228
Olbia,2022,W1,02,31941,33597
Olbia,2022,W1,13 + 14,922,1003
Olbia,2022,W1,11 + 12,75,161
Olbia,2022,W1,03 + 04,23993,24009
Alghero,2022,W2,02,39452,39332
Alghero,2022,W2,03 + 04,34790,36178
Alghero,2022,W2,13 + 14,1116,1393
Alghero,2022,W2,11 + 12,526,699
Olbia,2022,W2,02,34117,34150
Olbia,2022,W2,11 + 12,403,777
Olbia,2022,W2,03 + 04,27677,28318
Olbia,2022,W2,13 + 14,678,2578
Alghero,2021,S1,02,11494,10604
Alghero,2021,S1,03 + 04,12681,13236
Alghero,2021,S1,13 + 14,166,140
Olbia,2021,S1,11,412,277
Olbia,2021,S1,03,14076,13199
Olbia,2021,S1,04,445,286
Olbia,2021,S1,13,1295,494
Olbia,2021,S1,12,88,20
Olbia,2021,S1,02,21271,17639
Olbia,2021,S1,14,3960,1988
Alghero,2021,S1,11,0,22
Alghero,2021,S2,12,481,225
Alghero,2021,S2,03 + 04,13774,12798
Alghero,2021,S2,02,19491,16347
Alghero,2021,S2,13 + 14,7709,5334
Alghero,2021,S2,11,454,310
Olbia,2021,S2,13,7695,5178
Olbia,2021,S2,14,13975,10277
Olbia,2021,S2,04,4604,4014
Olbia,2021,S2,12,531,122
Olbia,2021,S2,03,22169,19131
Olbia,2021,S2,11,5116,3554
Olbia,2021,S2,02,61743,50694
Alghero,2021,S3,03 + 04,28146,25125
Alghero,2021,S3,13 + 14,16068,14022
Alghero,2021,S3,02,34928,29078
Alghero,2021,S3,12,1089,406
Alghero,2021,S3,11,2991,2288
Olbia,2021,S3,11,26012,18597
Olbia,2021,S3,04,18081,15500
Olbia,2021,S3,03,45127,40295
Olbia,2021,S3,02,122028,109106
Olbia,2021,S3,12,4816,3886
Olbia,2021,S3,14,36658,29398
Olbia,2021,S3,13,26113,20283
Alghero,2021,S4,13 + 14,14071,15120
Alghero,2021,S4,02,38985,41732
Alghero,2021,S4,03 + 04,29763,31440
Alghero,2021,S4,11,5984,6334
Alghero,2021,S4,12,1047,1216
Olbia,2021,S4,11,29461,34259
Olbia,2021,S4,12,2623,3711
Olbia,2021,S4,02,123921,136448
Olbia,2021,S4,03,51071,55838
Olbia,2021,S4,14,32924,36095
Olbia,2021,S4,04,27113,28333
Olbia,2021,S4,13,20264,23046
Alghero,2021,S5,02,38775,46863
Alghero,2021,S5,13 + 14,19841,22086
Alghero,2021,S5,03 + 04,41766,47256
Alghero,2021,S5,12,2405,3012
Alghero,2021,S5,11,8020,9115
Olbia,2021,S5,14,67690,78079
Olbia,2021,S5,12,3412,4250
Olbia,2021,S5,02,79652,102677
Olbia,2021,S5,13,29095,33997
Olbia,2021,S5,11,14516,19007
Olbia,2021,S5,04,4619,6824
Olbia,2021,S5,03,32766,40205
Alghero,2021,W1,02,8839,9643
Alghero,2021,W1,03 + 04,10300,11018
Alghero,2021,W1,13 + 14,41,129
Olbia,2021,W1,13 + 14,55,21
Olbia,2021,W1,02,13947,14771
Olbia,2021,W1,03 + 04,10821,11101
Alghero,2021,W2,03 + 04,33758,34105
Alghero,2021,W2,02,28365,26597
Alghero,2021,W2,13 + 14,3723,3927
Alghero,2021,W2,11 + 12,4544,4592
Olbia,2021,W2,13 + 14,1296,2541
Olbia,2021,W2,03 + 04,19409,19836
Olbia,2021,W2,11 + 12,266,441
Olbia,2021,W2,02,29151,27723
Alghero,2020,S2,03 + 04,4974,3985
Alghero,2020,S2,02,5127,3591
Alghero,2020,S2,13 + 14,530,68
Olbia,2020,S2,02,15465,9937
Olbia,2020,S2,03,6507,4631
Olbia,2020,S2,11,295,62
Olbia,2020,S2,04,224,224
Olbia,2020,S2,14,1157,139
Olbia,2020,S2,13,153,57
Alghero,2020,S3,13 + 14,11181,7957
Alghero,2020,S3,02,22410,15863
Alghero,2020,S3,03 + 04,13347,10613
Alghero,2020,S3,12,936,407
Alghero,2020,S3,11,218,128
Olbia,2020,S3,13,6698,4412
Olbia,2020,S3,04,10616,9233
Olbia,2020,S3,14,16641,11609
Olbia,2020,S3,03,24775,19279
Olbia,2020,S3,02,64787,50595
Olbia,2020,S3,11,6464,3806
Olbia,2020,S3,12,1790,794
Alghero,2020,S4,02,31869,33801
Alghero,2020,S4,12,2232,2018
Alghero,2020,S4,03 + 04,17614,19544
Alghero,2020,S4,13 + 14,12511,12372
Alghero,2020,S4,11,523,808
Olbia,2020,S4,02,85745,92627
Olbia,2020,S4,12,10412,9572
Olbia,2020,S4,14,18036,19834
Olbia,2020,S4,04,16038,17309
Olbia,2020,S4,03,29664,33030
Olbia,2020,S4,13,9817,10293
Olbia,2020,S4,11,14417,15865
Alghero,2020,S5,03 + 04,14344,18039
Alghero,2020,S5,02,19594,25694
Alghero,2020,S5,13 + 14,10962,13203
Alghero,2020,S5,12,2341,3177
Olbia,2020,S5,04,3684,5197
Olbia,2020,S5,11,3742,4840
Olbia,2020,S5,14,27184,32197
Olbia,2020,S5,03,14037,19188
Olbia,2020,S5,12,7571,10293
Olbia,2020,S5,13,10561,11890
Olbia,2020,S5,02,41889,57524
Alghero,2020,W1,02,27087,28096
Alghero,2020,W1,03 + 04,38549,39378
Alghero,2020,W1,11 + 12,5693,5664
Alghero,2020,W1,13 + 14,2653,2624
Olbia,2020,W1,02,13641,15760
Olbia,2020,W1,03 + 04,9987,9722
Olbia,2020,W1,13 + 14,450,556
Olbia,2020,W1,11 + 12,1690,1841
Alghero,2020,W2,03 + 04,9578,9215
Alghero,2020,W2,11 + 12,43,54
Alghero,2020,W2,02,7628,6690
Alghero,2020,W2,13 + 14,318,288
Olbia,2020,W2,03 + 04,8029,8591
Olbia,2020,W2,11 + 12,183,565
Olbia,2020,W2,13 + 14,197,1493
Olbia,2020,W2,02,8918,8494
Alghero,2019,S1,02,35771,34494
Alghero,2019,S1,03 + 04,43898,43445
Alghero,2019,S1,12,10662,8497
Alghero,2019,S1,13 + 14,20258,17037
Alghero,2019,S1,11,2048,2167
Olbia,2019,S1,13,24368,19608
Olbia,2019,S1,12,17658,14288
Olbia,2019,S1,04,4427,4415
Olbia,2019,S1,14,64069,51265
Olbia,2019,S1,03,28492,26444
Olbia,2019,S1,11,25908,22539
Olbia,2019,S1,02,54405,50170
Alghero,2019,S2,03 + 04,28049,25115
Alghero,2019,S2,02,28549,24761
Alghero,2019,S2,13 + 14,15088,12371
Alghero,2019,S2,12,10098,9306
Alghero,2019,S2,11,2525,1975
Olbia,2019,S2,11,25773,22725
Olbia,2019,S2,13,25408,21910
Olbia,2019,S2,14,47777,47995
