idFeature,tipoElCod,tipoElDesc,geometry
13,6,Sistemi di spiaggia,"POLYGON ((9.43612585161113 41.13590407660926, 9.43593798327004 41.136010225305874, 9.435623448537504 41.13622832352641, 9.435459912518533 41.13645134518271, 9.43538894095247 41.13680027831863, 9.435663814716131 41.136910926921395, 9.435652996524308 41.136796788146945, 9.435653404610893 41.136634645535096, 9.435725547671808 41.136508262631864, 9.435842493753261 41.13639972565139, 9.435935541369219 41.13628227126181, 9.435974854439483 41.13614700473936, 9.436044042858496 41.13602513674189, 9.43612585161113 41.13590407660926))"
15,6,Sistemi di spiaggia,"POLYGON ((9.285661087721051 39.21405187199449, 9.286262191109785 39.2138038594499, 9.286583666795318 39.2137222429144, 9.286578846803692 39.21372189886523, 9.286467357786062 39.21372217359001, 9.286360237689149 39.21372694287528, 9.286274925098516 39.21375418550689, 9.286221497830878 39.21379036044611, 9.28612613458959 39.21384015484131, 9.28604371290204 39.21386739018957, 9.285943944130905 39.21389917356679, 9.28553305615655 39.21397677553816, 9.28518140510481 39.214022692803745, 9.284752803463801 39.21401923779005, 9.284363292773916 39.21401118017832, 9.28417645864694 39.21399812067161, 9.28405914125272 39.21398939648341, 9.28384770014522 39.21397639656142, 9.283739083667683 39.21397215623658, 9.283523373944604 39.21397718784884, 9.283349682187716 39.21399112752879, 9.283186141374228 39.214009547654314, 9.283089135357784 39.21400978387232, 9.28292407176718 39.21401018563073, 9.282767718225557 39.21401507140021, 9.28267074839611 39.21402431803525, 9.282572346430781 39.21403807349671, 9.282475412716291 39.2140563307348, 9.28220339072149 39.214102045535, 9.281885035936366 39.2141478720356, 9.281693986790732 39.21416635675299, 9.281552089037563 39.21416670044179, 9.281278426953394 39.21416285736051, 9.280927943248875 39.21414117756506, 9.280399282056948 39.214097399406654, 9.280250116049125 39.21408874818351, 9.27969834319286 39.21405853882729, 9.279009023896833 39.214028657000966, 9.278471735500164 39.21399840707502, 9.27783737038614 39.21395036497564, 9.27723644911128 39.21389674215853, 9.276804653788712 39.21385821419312, 9.276727860502378 39.21384488070937, 9.276541929472886 39.213806205166144, 9.276535130385884 39.213804790413604, 9.276461219902679 39.21378694446995, 9.276297536172201 39.213769311848075, 9.276125187549248 39.21375620500195, 9.275726687070819 39.21367154759202, 9.27521218944746 39.21354661459638, 9.27486580458109 39.21343432162343, 9.274572229649642 39.21342779849141, 9.274856528335048 39.21363375558416, 9.275296025190505 39.21383748205978, 9.275715562430785 39.21392748945884, 9.276130138632825 39.21399096745696, 9.276686068755307 39.214054107683005, 9.277207739252427 39.21408319923164, 9.277978238540248 39.21416478215664, 9.27871458325418 39.21424644185994, 9.27931404145408 39.21422226355257, 9.279791803625423 39.21423627472005, 9.280318312544704 39.21425776076235, 9.280798910295953 39.21419184370409, 9.28106915986164 39.214309021157334, 9.281381226426694 39.21433102868588, 9.281810162797909 39.21432998986391, 9.282146447512055 39.21431780082775, 9.282521581416477 39.21426759515775, 9.282857788291349 39.21423643641206, 9.283174621423601 39.21423566522511, 9.283632938413188 39.21426488947877, 9.28404702446116 39.214206996735555, 9.284500450902561 39.21423242874547, 9.285046330822341 39.21406637432532, 9.285661087721051 39.21405187199449))"
16,6,Sistemi di spiaggia,"POLYGON ((9.299369032911125 39.21181483343757, 9.299348534941402 39.211847007196816, 9.299238978081434 39.211959924841636, 9.299054401022982 39.21213611130981, 9.298910152313727 39.21226263413253, 9.29881634597336 39.21233496204648, 9.298779487732041 39.21235864356296, 9.298734117244233 39.212387799402784, 9.298703724331673 39.21240733821621, 9.298634418681083 39.21245257048577, 9.298546307654503 39.212502356421545, 9.29846827183958 39.212538600151525, 9.298439215728958 39.212547549514255, 9.298394529147615 39.21256131653326, 9.298244219650908 39.212624778105884, 9.298005721865762 39.2127200035022, 9.297944790147003 39.21274311838758, 9.29774263583947 39.2128197967951, 9.29732628051272 39.212969541172235, 9.296904074923754 39.21310578271826, 9.29658734624867 39.21319219407112, 9.296324104668019 39.21325594114463, 9.296060796478727 39.2133061715143, 9.295513790225531 39.21337514430413, 9.29516071757025 39.21342560072466, 9.294907531083389 39.21347129736978, 9.29439829442849 39.21357170711173, 9.294082860118403 39.2136220649695, 9.293819407710853 39.213636247229765, 9.29350813535771 39.213641538754246, 9.292863640388873 39.21359810947926, 9.292258292636372 39.21356809453137, 9.292139534083264 39.21355938210244, 9.292045382484112 39.21355060775358, 9.291987430095395 39.213541742436384, 9.291623885124787 39.21351111676217, 9.29136885405259 39.21346219639079, 9.291270249483231 39.213426400014136, 9.29119192922924 39.213395058185704, 9.29108898354588 39.21335927252597, 9.29100056793092 39.21333696669301, 9.290793450256324 39.21331946312899, 9.290571942365794 39.21332452229004, 9.290495267971757 39.21333823014553, 9.290409892421218 39.21335195968201, 9.29031439332 39.21336571443164, 9.290095841339857 39.213384281587444, 9.289925024951968 39.21339371846891, 9.289832361139752 39.21339394947429, 9.289764387676437 39.213412140587685, 9.289684905382762 39.21344838204001, 9.289576493341428 39.21349370633986, 9.28945795761754 39.21353905574028, 9.289340844141826 39.21357989605441, 9.289177361442608 39.21361184072367, 9.289013943372845 39.21365730128235, 9.288692916549925 39.21375721814149, 9.288412254109955 39.2138119797403, 9.288251587751901 39.21382589441916, 9.288031583580624 39.21384446130326, 9.287872321241057 39.213844855702014, 9.287775287799313 39.21384059046336, 9.287644946261995 39.21383190211886, 9.287330643306522 39.21380564665039, 9.28703781254725 39.21376497312913, 9.287078751137022 39.213771845561766, 9.28739574706893 39.21393540062841, 9.287679888154434 39.21399087614953, 9.288004383190989 39.21399086762926, 9.288545196275214 39.213987368755426, 9.288973673567744 39.21387254899356, 9.289221313412462 39.213646169088015, 9.28973007566228 39.21353719670759, 9.290249601306018 39.21358876954022, 9.290844611891291 39.21367069806384, 9.291351969677407 39.21377561182258, 9.291751828497864 39.213812515204914, 9.292210073804165 39.21382653162027, 9.292797670693332 39.2138800422551, 9.293341551777878 39.21397536784201, 9.293643283369965 39.21370331205609, 9.294252348100708 39.213802429039276, 9.295056244910477 39.213713175977155, 9.29544676513509 39.21352837835886, 9.295806231435026 39.213516923599464, 9.296205550852411 39.21341612184176, 9.29667320861763 39.21339813433442, 9.297165008121356 39.21327932120684, 9.29768600960731 39.21314527860147, 9.298104526755896 39.21298873592142, 9.29857159110101 39.212778969748136, 9.298892574636 39.21261130832384, 9.299154908010536 39.21240586752315, 9.299348587602259 39.21210202143429, 9.299369032911125 39.21181483343757))"
17,6,Sistemi di spiaggia,"POLYGON ((9.338260806150705 41.18949439164102, 9.338249841066258 41.18939271898155, 9.33832421909958 41.18897800678037, 9.338344109257015 41.18857962288264, 9.33846261569251 41.188114481295074, 9.338493426122627 41.18768282739472, 9.33857895688379 41.187226063524996, 9.338828605092765 41.18659460216877, 9.338816165183113 41.18631242258447, 9.33836652241704 41.1865212892346, 9.337769561546388 41.186718239984046, 9.337308634118468 41.18687728212282, 9.336857761626414 41.186861973641776, 9.336549370789124 41.186738395512336, 9.336163491449097 41.186523783553255, 9.335898396043557 41.18628386960631, 9.335170719643978 41.18587100653722, 9.334884031689613 41.18572240371889, 9.334498618105322 41.1855990362421, 9.334102244716032 41.18547570021612, 9.33366183435653 41.185344208860656, 9.333210453770938 41.185212739498546, 9.332810495935638 41.18513051188328, 9.332275231591094 41.18507018630792, 9.332437839930162 41.18534452104758, 9.332595843206663 41.18536422985852, 9.332889679585733 41.185408418476385, 9.333138886236647 41.185466247312284, 9.333422452942095 41.18554199153486, 9.33364196630586 41.18562242481155, 9.333860403319884 41.18570962022761, 9.33391079504467 41.185729737801864, 9.334175132781864 41.18583255932589, 9.33443208559047 41.18594891338054, 9.334690522599663 41.1860652625389, 9.334945993929445 41.1861816197526, 9.33511712522587 41.186258216892085, 9.335205925595709 41.18629796339441, 9.33546288203852 41.18641431512602, 9.335693085031899 41.18654425604544, 9.335926357342261 41.18669221028731, 9.33615512904582 41.186835666115925, 9.336375019382208 41.18698814803238, 9.33659343148074 41.187145144943436, 9.336711707860744 41.18724838805662, 9.336904906275949 41.18742797762478, 9.337080266268988 41.18761663413204, 9.337249665213308 41.18780528622937, 9.337271375430548 41.18783777844224, 9.337330771852537 41.1879266604475, 9.337426765286608 41.188043479831826, 9.337521973254391 41.18817304833527, 9.337575364195303 41.18824571853544, 9.337638618668237 41.18837164161183, 9.33763992661178 41.18837462745043, 9.337714214837673 41.1885434229942, 9.337733620836357 41.188587549112036, 9.337825656923604 41.188803465239126, 9.337899853835717 41.18902844147474, 9.337953165564896 41.18924897515108, 9.338021391789763 41.18947396883749, 9.33811736551888 41.189586283785346, 9.33822403579667 41.18974810991448, 9.338323745387008 41.1898579536745, 9.338649945157602 41.189852300430225, 9.338275011586976 41.18962599208354, 9.338260806150705 41.18949439164102))"
18,6,Sistemi di spiaggia,"POLYGON ((9.365241010868349 39.176883975495706, 9.365299631259484 39.176616539103335, 9.365577423742677 39.17638242047768, 9.365818515715462 39.17619654557746, 9.366407773942127 39.176190905990346, 9.367355004778592 39.17593736317614, 9.368230338412022 39.17562836999107, 9.3692842074561 39.17523529705297, 9.370086993656576 39.17474556778255, 9.370818691253168 39.17435349798159, 9.371193491912704 39.17415742513727, 9.371785262211002 39.1741555358478, 9.37192958446163 39.17460050045689, 9.372056993518948 39.1750037507188, 9.37244250890113 39.175141709627624, 9.372664223770055 39.17476516963826, 9.372841563666574 39.17445838239238, 9.37293366090297 39.17414195610852, 9.372640804842556 39.173721297810786, 9.372495441692118 39.17330418734054, 9.372422382094737 39.17302603033756, 9.3727893571812 39.17259022704601, 9.373031724316215 39.17228009616634, 9.373012194988062 39.17182125336819, 9.372698074231634 39.17152030455663, 9.371885043812298 39.171562424907485, 9.372228045285036 39.171749367704, 9.37225029274794 39.17179545668425, 9.37226366934675 39.17180843824884, 9.372267397424869 39.17183090041332, 9.372269647687231 39.17184446273192, 9.372280178852503 39.17192102170824, 9.372280773601219 39.172033656081, 9.372261209946023 39.172164376747325, 9.37225580250616 39.17223648126025, 9.372219079347971 39.172407805865966, 9.372174937577357 39.17254311057902, 9.37211757986063 39.17264241393328, 9.372045913522062 39.17277330116155, 9.37197558666862 39.172881656809494, 9.371879255939517 39.172999106423234, 9.371780026192804 39.17311656521814, 9.37168940244352 39.17322048008653, 9.371564201248198 39.17335153800214, 9.371392884143262 39.173518786580715, 9.371219927077348 39.17364999653729, 9.371103141025918 39.17373146715601, 9.370994994205358 39.17380389921293, 9.37090986444376 39.173859742624956, 9.370801757924585 39.17393066775073, 9.370689286077035 39.17400761875453, 9.370530612243824 39.17410273858113, 9.370343105939043 39.17422047720899, 9.370142629733342 39.17434726769126, 9.369972463225956 39.1744604451104, 9.36978491703334 39.174569172064174, 9.369487643728954 39.17472780713974, 9.369227903157512 39.17486830056499, 9.369001380425125 39.17499517172434, 9.36890031647132 39.17504054667222, 9.368761750917896 39.175108567634005, 9.368578280927526 39.17516771978281, 9.368435163968531 39.17519520573255, 9.368280555165246 39.17524074967558, 9.368149085154531 39.17528171475647, 9.368114674598905 39.1752926520211, 9.367991609965038 39.17533177283404, 9.367847113573848 39.17537277877085, 9.367688174328878 39.175418335617834, 9.367558167267275 39.17546380085773, 9.367421025497029 39.175527310277296, 9.367240536706252 39.1756044727003, 9.366990737332307 39.175708886164095, 9.36680448268986 39.175790571545, 9.36664416271728 39.17584964766578, 9.366625441060199 39.175854423862106, 9.366501081193679 39.17588614202584, 9.366334878721538 39.17592721445533, 9.366161391467717 39.17595929867553, 9.366065972288888 39.175977620707584, 9.36593599579109 39.176027589489, 9.365801647496154 39.176073066421075, 9.36563841310185 39.176127644871556, 9.365517081353422 39.17617308057093, 9.365379842942634 39.17621856609538, 9.365226781950241 39.17628212291861, 9.36509539228479 39.17634110609421, 9.365020353008184 39.176381890562475, 9.36495089212184 39.17638210845033, 9.364936353511009 39.17641337410432, 9.364919410371497 39.176449788915264, 9.36491971358337 39.17650835879226, 9.364941670123532 39.17653823764298, 9.364969269671567 39.17657578508376, 9.364950711567882 39.176625403223866, 9.36494560129906 39.17663051491427, 9.364883049690565 39.176693197151494, 9.364771946449927 39.176756621788606, 9.364617541578474 39.17684270926181, 9.364386595285143 39.17695606894869, 9.364347734012531 39.17697188762541, 9.364185858533144 39.17703779548952, 9.36401686945318 39.177101400572795, 9.363769763574945 39.177169755111215, 9.363466221865965 39.17723828543468, 9.363278323883765 39.17728392672166, 9.363126568851007 39.17732044401678, 9.362979120248324 39.177352442231985, 9.362836019824895 39.177384426701316, 9.362636428154493 39.177407576179505, 9.36249752749598 39.17741251445684, 9.362358511010177 39.17739492569008, 9.362226834191327 39.177391466420666, 9.362205097451193 39.177390897919985, 9.36206766011092 39.17740033657745, 9.36187977003804 39.177445975585464, 9.361733862522424 39.17749598922384, 9.361569241548633 39.17756408262516, 9.36139016744482 39.17763672613388, 9.36124146191789 39.17770476963682, 9.3610754966691 39.17779539375172, 9.360909586393365 39.17789502835422, 9.360797493596019 39.17796953026141, 9.360816620435415 39.177967729142715, 9.361230641934894 39.17808588119499, 9.361602187031831 39.17788526011043, 9.361776979009624 39.17761703279111, 9.362166813654989 39.17761410884417, 9.362608008294005 39.17761705093067, 9.363194699703046 39.177533978818744, 9.363674484767108 39.17742687068753, 9.364180288240751 39.177390835485475, 9.364596834776176 39.17732347119511, 9.364924078860872 39.17722387061759, 9.365008900935049 39.17700541202695, 9.365241010868349 39.176883975495706))"
87,6,Sistemi di spiaggia,"POLYGON ((8.477397416551069 40.25672746268321, 8.47708031545425 40.25653502971223, 8.477226678678162 40.25618057690416, 8.47701642705822 40.25590611882045, 8.47682880771583 40.255608332357546, 8.476728794499168 40.25538275629, 8.476902981634556 40.25513882632112, 8.477228034727531 40.25497325243301, 8.477519212091522 40.25474229559413, 8.477175729817876 40.25460876486541, 8.476908775545091 40.254380558752516, 8.476596753542259 40.254131896641525, 8.476533482479141 40.253903753864925, 8.476369957187098 40.253665466742966, 8.476255330289154 40.25334292666448, 8.476092000077069 40.25307824217415, 8.475843863962272 40.25275072923452, 8.475802055506241 40.252258675871616, 8.475708766125312 40.25184649563949, 8.475711248362774 40.25152450019403, 8.475672107176763 40.25123924594634, 8.47553712336753 40.25087438318692, 8.475408794869372 40.25054121951871, 8.475300595955046 40.25027678974622, 8.475240665338095 40.25000728741299, 8.475077254143203 40.249758438263925, 8.474783463184986 40.249440354058066, 8.474565201068925 40.249154309651736, 8.474463537395652 40.24893740878973, 8.474451743614733 40.2486786777303, 8.474205694745958 40.24842416759064, 8.474097913245537 40.24810693287668, 8.474107370542997 40.247774407448645, 8.474296713188163 40.24734502876834, 8.474540419362407 40.24701090828733, 8.474743265252075 40.2466159079152, 8.474897377036415 40.24628403088888, 8.475016894825359 40.245973103640154, 8.475005647660797 40.24564576087388, 8.475415909694226 40.245151386867505, 8.475701040024948 40.24480426368039, 8.475683107447678 40.24445048376579, 8.475988322494116 40.24417736405957, 8.47605957903068 40.24387150931262, 8.476092916331432 40.24359644047433, 8.476342656416884 40.24333037446858, 8.47696902899347 40.242920740776384, 8.477848500563434 40.24258113177569, 8.47887280466501 40.24216953356185, 8.478648527977416 40.24186460326532, 8.477967331438807 40.24203518656872, 8.47700337967114 40.24213938108553, 8.476406153920568 40.24244061190687, 8.475725289971152 40.24256778070841, 8.475017451213013 40.242521156330575, 8.474629171190491 40.24235841152512, 8.474316817895852 40.24206873774618, 8.47388237238635 40.24209555005247, 8.473593834702863 40.24228969327578, 8.47332054706799 40.24246106495192, 8.47329586401198 40.242465495180134, 8.473310791259632 40.24247445873727, 8.473391203282699 40.24252887953774, 8.473461857343594 40.24259197774898, 8.473487524355232 40.242614904818026, 8.47349412925708 40.24262188453929, 8.47362891995113 40.24276419928616, 8.473721796509263 40.242872776787735, 8.473876504579037 40.2430536186072, 8.47397255777929 40.24317567909673, 8.474043557248267 40.24330663497402, 8.474097261352924 40.24339246625352, 8.474132077569056 40.24345118414885, 8.474264490170302 40.24381215343492, 8.474287271899817 40.243906853497116, 8.474330563092547 40.244199849176745, 8.474351882536837 40.244294542585266, 8.474376519293227 40.2443397004013, 8.474385123109931 40.24436676705785, 8.474390688112171 40.24440733373702, 8.474392404426101 40.24456500264155, 8.474402490402019 40.244781269355045, 8.474428574760056 40.245020131654414, 8.474434851404691 40.24513492569927, 8.474440158225459 40.24523190053879, 8.474467158017507 40.24554284060572, 8.474475483627808 40.245605942808396, 8.474483818658294 40.245669045052566, 8.474499077014027 40.24578623392884, 8.474516016140312 40.24587640281092, 8.474540514388943 40.24593957836179, 8.47454303133194 40.24599364500465, 8.474531807058469 40.24611521835298, 8.474510253709013 40.24624124944784, 8.474481776920788 40.24631319390665, 8.474462426177709 40.24634463833969, 8.474414946537152 40.24640298276932, 8.474339442296436 40.24647471382768, 8.474264898522154 40.246529551532134, 8.474235982953912 40.24655082257109, 8.474213757750809 40.24657324471218, 8.474194451032895 40.24660018469675, 8.474168943087829 40.246667637946246, 8.474115062175546 40.24679352221721, 8.474073350858486 40.24686985793721, 8.474073321055302 40.24686991095622, 8.474031579840444 40.24694629967856, 8.4739229719552 40.24711698138635, 8.473780390377405 40.24731003167828, 8.473734311743764 40.24737739138254, 8.473697046055783 40.24744479110518, 8.473668567890524 40.24751673534021, 8.473636622856207 40.24765623282806, 8.473624168678002 40.24774626825686, 8.473628191783092 40.247795837144366, 8.473616651814336 40.247957950333685, 8.47362423756367 40.24802330511271, 8.473624247266622 40.24802341867274, 8.47363180457134 40.248088652598035, 8.473628811047595 40.248124364982935, 8.4736204737059 40.24822373912739, 8.473627196810313 40.24830485248113, 8.473642767946636 40.24838150143457, 8.473662964243998 40.24843114379749, 8.473780813569997 40.24858483557245, 8.473823122104495 40.24862556914463, 8.473867636110645 40.24865068625983, 8.473903602042524 40.24867098065387, 8.47394160861695 40.24869818084582, 8.474024674995704 40.248788650015435, 8.474082903837951 40.24886098797196, 8.474122034334115 40.24893323920538, 8.47414648905633 40.24900091921006, 8.474172216303769 40.24909563258345, 8.474173419678726 40.249099666058626, 8.474193701692549 40.24916780369846, 8.474248648231745 40.24928517266656, 8.474326821700789 40.249438683800214, 8.47436713691114 40.249546977116076, 8.474442550331602 40.249677952645825, 8.474518242449154 40.24977289259405, 8.474644012843248 40.24985454580452, 8.474667531191983 40.249873375371614, 8.47473457144741 40.249927030030356, 8.474775235433599 40.24999027878676, 8.474871752041214 40.250053780718, 8.474900693554554 40.25011247169244, 8.474918555087172 40.25017687382148, 8.474920707994027 40.25018463599449, 8.47495091300236 40.2502703602758, 8.475001202219481 40.250419239952, 8.475008883733222 40.25043537780292, 8.475076409226695 40.250577241710005, 8.475103960602157 40.25081611027468, 8.475106663934465 40.25103684784779, 8.475124216132492 40.251145044941566, 8.475141740277465 40.25125322748898, 8.47524190617773 40.2515957811604, 8.475241925644506 40.251595848817566, 8.475241983028928 40.25159603106325, 8.475307815560322 40.25173213296789, 8.47535771848515 40.251835298948286, 8.475357795218903 40.25183556416615, 8.475439296615177 40.25211945802305, 8.4754634292621 40.25222524785609, 8.475463477248335 40.25222542915818, 8.475487639198239 40.252331392994556, 8.475626753634035 40.25258877761578, 8.475728181317612 40.25277843696972, 8.475830447382947 40.2530491755605, 8.475919622992095 40.25330183644293, 8.47601438590963 40.253595063887865, 8.476118150544636 40.253861304372585, 8.476450933036492 40.25416461677066, 8.47660673995518 40.25435451385281, 8.476854145881198 40.254675457689096, 8.476801414245255 40.25484188958582, 8.476799872797484 40.254850891815266, 8.476786339881373 40.254891372054914, 8.476618120974694 40.25497619948488, 8.476493185656022 40.255047564343826, 8.476383386686738 40.255110276587224, 8.476369167382597 40.25514105527948, 8.4762712814637 40.2553530179614, 8.476313844300236 40.255551412563406, 8.476358122339311 40.255718282732396, 8.47653140623071 40.25593078184383, 8.47671486413956 40.256156840431935, 8.476870329777537 40.256391781506636, 8.47692855033682 40.25665781547196, 8.476896485669332 40.257004524430556, 8.476892909087002 40.257279288505316, 8.477044490341527 40.2574466428616, 8.477118247872204 40.257464593271024, 8.477052292593022 40.25734831937953, 8.477443488528271 40.257238665359814, 8.477397416551069 40.25672746268321))"
49,6,Sistemi di spiaggia,"POLYGON ((8.88692663702814 38.89916227802537, 8.886760161564336 38.898843335194094, 8.886871285088784 38.89825299368243, 8.887196111968285 38.898216760843304, 8.887458804988222 38.89805458150105, 8.887631720120678 38.89787706479133, 8.88758630471954 38.8978624589288, 8.887512827998748 38.89783986010606, 8.887476845842286 38.897803780156366, 8.887475437457852 38.897781250400065, 8.887482710728332 38.89774070624444, 8.887498628110468 38.89770017037633, 8.887526048820792 38.89767766825793, 8.887589515252122 38.897650694989764, 8.88760972142908 38.89763719730213, 8.887608320073262 38.89761016187222, 8.887591072109469 38.897578605580826, 8.88757673288651 38.89753353502969, 8.887571037775954 38.897488472759335, 8.887578308805837 38.897443422912104, 8.88762166292437 38.897375879220654, 8.887636129325607 38.897339847622995, 8.887644839147711 38.89730381051132, 8.887643437784824 38.89727677508027, 8.887626168687094 38.8972587358167, 8.88759015142326 38.897245184272684, 8.887549790928412 38.89724514559994, 8.88750796761158 38.89726312823706, 8.887467571725445 38.89728561790966, 8.887386751551297 38.897348619911305, 8.887307417508659 38.89738458919495, 8.887226609130147 38.89743407405167, 8.88714723233255 38.897497077272966, 8.886984149154388 38.897627585062494, 8.886952404119368 38.89764557720624, 8.88692788286892 38.89765456494052, 8.886854370996437 38.8976544940751, 8.886796734173366 38.8976409214372, 8.886656974957518 38.89760023538161, 8.886554684012411 38.897568596754425, 8.88651147150152 38.897546026558686, 8.886422191781824 38.897491871992976, 8.886275337940678 38.89737908770973, 8.886200511412676 38.89729791289254, 8.88615305080306 38.89723478730933, 8.886121420314817 38.897180688434915, 8.886053818023433 38.89709050916943, 8.88602074598362 38.89704091454816, 8.88596326758307 38.896928216653905, 8.885918762556239 38.896811025662444, 8.885885812732669 38.89668483452702, 8.885868694942703 38.8965721758274, 8.885870296575373 38.89647305237994, 8.88587901948672 38.89642349836134, 8.885897846479784 38.89636944848608, 8.885955668563774 38.896265874012336, 8.885987456251607 38.89622084808283, 8.886026422602075 38.89618934616481, 8.886069712945222 38.89616235411474, 8.88611730167287 38.896144377585365, 8.886169221566071 38.89612640523859, 8.886183274811692 38.896125003186384, 8.886069324274446 38.89605941241176, 8.885616668736125 38.89640819661402, 8.88542137897514 38.896791102574106, 8.88557115634648 38.89699524619312, 8.885750122594848 38.89744788204097, 8.886113579681306 38.8977424068215, 8.886394106971816 38.898146850079726, 8.88629319951369 38.89884887343277, 8.886534805317782 38.89923493683033, 8.886877657866805 38.899532408463806, 8.88692663702814 38.89916227802537))"
52,6,Sistemi di spiaggia,"POLYGON ((9.61407325691282 39.29776387420404, 9.613903932215008 39.29730901145499, 9.613903767577655 39.297309148384585, 9.61387921121707 39.29731828862235, 9.613856176185843 39.29733643146952, 9.613830158678267 39.29734557940761, 9.613804189817111 39.2973592324046, 9.61377527786196 39.297368395603534, 9.61374776910436 39.29737304607033, 9.613721760845886 39.29738219393543, 9.61369430072546 39.29739134945438, 9.613666831320774 39.297400505015844, 9.613637879964712 39.29740516306714, 9.613608928604723 39.29740982111128, 9.613579898516946 39.29740546892068, 9.61355082907262 39.297396611609, 9.61352325084892 39.297392251746366, 9.613485479563872 39.29738344031399, 9.613454967562449 39.297374590586294, 9.613427389353069 39.2973702307008, 9.61339545558293 39.29736589377654, 9.61336642552585 39.29736154153243, 9.613335943617749 39.29735719693622, 9.613306913567763 39.297352844677235, 9.613276431666904 39.29734850006537, 9.61324595904674 39.2973441553966, 9.61321692900743 39.29733980311507, 9.613187898971622 39.29733545082625, 9.613158829604487 39.29732659341598, 9.613129799577555 39.29732224111262, 9.613099317700346 39.297317896454175, 9.613070287680502 39.297313544135875, 9.613041257664165 39.29730919181034, 9.613012227651332 39.297304839477526, 9.61298461017183 39.29729597437229, 9.612955540846041 39.29728711691087, 9.612925019674492 39.297278267092146, 9.612897441534198 39.297273907080495, 9.612865507838713 39.2972695700102, 9.612832131571288 39.297265240531104, 9.61280306227698 39.29725638303131, 9.612775444842333 39.29724751787606, 9.612747827414593 39.297238652714164, 9.61272020071673 39.2972297875945, 9.612694035154664 39.29722091477227, 9.612666417747434 39.29721204959085, 9.612637339218539 39.29720319209811, 9.612606827399546 39.2971943421464, 9.61257921001353 39.29718547694409, 9.612551583357405 39.29717661178402, 9.612525378542006 39.2971632338086, 9.612500655602426 39.29715435334622, 9.612472998954626 39.29714098300353, 9.612446784890343 39.297127605058975, 9.612423474535516 39.29711421182094, 9.612398712340044 39.297100826221616, 9.612376814568051 39.297082920215544, 9.612354916807213 39.29706501420525, 9.612333058339052 39.29705161330578, 9.612308296182768 39.297038227686755, 9.612284985883827 39.29702483442035, 9.61226163631686 39.29700693603398, 9.61224263302649 39.29698901476729, 9.612226494164965 39.296966573099596, 9.612208942740923 39.296948644185846, 9.612192843171888 39.29693070762852, 9.61217669506284 39.29690826600229, 9.612166354344632 39.296885793811796, 9.612160359890101 39.29686329874791, 9.6121543654395 39.29684080368358, 9.612145476582322 39.296818323850495, 9.612136578453974 39.296795844065414, 9.612127689608341 39.2967733642307, 9.612117348926157 39.296750892035085, 9.612106998973713 39.29672841988721, 9.612099552710792 39.29670593245903, 9.612093567570636 39.29668343734186, 9.612093371242478 39.29666091176388, 9.612101867400806 39.296638340445796, 9.612121998983683 39.296620213221644, 9.612149468290738 39.29661105802426, 9.612173985364459 39.29659741303482, 9.612191231793298 39.29657930098223, 9.612194470209888 39.29656167894164, 9.612195381672572 39.29655675253069, 9.61218934796663 39.296529752351226, 9.612186366479348 39.29652642869726, 9.612173239222988 39.29651181583791, 9.612144258136633 39.2965119683519, 9.612122351337332 39.29649406234305, 9.612112010699093 39.29647159014552, 9.612106016298974 39.29644909507681, 9.61210436813282 39.2964265771376, 9.6120954793457 39.296404097298584, 9.61208803312218 39.296381609868114, 9.612082038737771 39.2963591147977, 9.612084746083163 39.29633657393961, 9.6120917903731 39.29631401026067, 9.612106133088785 39.296295913499115, 9.612127716406205 39.29627777863405, 9.612129480552168 39.29627555092982, 9.612142049828432 39.296259681916894, 9.612150555201149 39.296237110545384, 9.61215906056849 39.29621453917321, 9.612169008484358 39.29619196020878, 9.61218040822424 39.29616937360292, 9.612190356127032 39.29614679463659, 9.612198861471004 39.29612422326136, 9.612203011322872 39.296101674808035, 9.6122028149637 39.29607914922822, 9.612193916913737 39.29605666944407, 9.612176365728175 39.296038740520785, 9.612155920173935 39.296020826826386, 9.612132570976359 39.29600292840816, 9.612117874929897 39.29598047912844, 9.612091709909214 39.295971606164656, 9.61208807462408 39.29597043678911, 9.612064093069014 39.295962740834, 9.6120350244098 39.295953883135454, 9.612007398306718 39.29594501784001, 9.611979781487369 39.295936152489155, 9.611953607223453 39.2959272795428, 9.611927402988991 39.29591390142535, 9.611902641312462 39.295900515713676, 9.611882195868018 39.2958826019699, 9.611866096629514 39.29586466536151, 9.611855746891294 39.295842193186225, 9.611848310082964 39.29581970568839, 9.611843758371277 39.29579720301497, 9.611833417927214 39.29577473078852, 9.611821625668039 39.29575226619701, 9.611811324484057 39.295734299084884, 9.611803878424956 39.29571181163239, 9.611797884191217 39.2956893165436, 9.611794793601476 39.29566680618306, 9.611796000673793 39.29563976789632, 9.61179870808629 39.295617227041596, 9.611805761676004 39.29559466332824, 9.611818643226469 39.29557657428501, 9.611840226400295 39.29555843947217, 9.61185891520497 39.29554031987948, 9.611877604000025 39.29552220028379, 9.61188360555195 39.29551864735443, 9.61185671337179 39.29547100985572, 9.611647980795846 39.29570987510841, 9.611419735599775 39.29600455716876, 9.611380888410887 39.29636345351843, 9.611490768173045 39.296933521884554, 9.611580094613588 39.297552621437646, 9.611916702671532 39.29797174643536, 9.61248635649756 39.29800437464987, 9.613513520884528 39.29788483649599, 9.61407325691282 39.29776387420404))"
