stop_id,stop_name,stop_lat,stop_lon,stop_comune,stop_type
ASPO871,Fermata di 871 - Via Roma S.Famiglia,40.91583,9.49863,OLBIA,Fermata Autobus
ATPSS_268,Fermata di Via Cesaraccio 16,40.747376,8.536553,SASSARI,Fermata Autobus
B_7030,Fermata di BONNANARO PIAZZA UMBERTO 6,40.53395,8.763484,BONNANARO,Fermata Autobus
7502,Fermata di MURTA MARIA,40.88919,9.588286,OLBIA,Fermata Autobus
ATPSS_229,"Fermata di Z.I. P.Niedda Str. 21, Civico 8",40.736691,8.537497,SASSARI,Fermata Autobus
ATPSS_556,"Fermata di Sp18 114, Dir. Saccheddu",40.736036,8.479004,SASSARI,Fermata Autobus
B_22109,Fermata di TERGU VIA REPUBBLICA 5,40.869999,8.715761,TERGU,Fermata Autobus
800280,Fermata di Le Saline,41.161348,9.402614,PALAU,Fermata Autobus
ATPSS_525,"Fermata di Via Pirandello, Fr. Distributore",40.744837,8.559635,SASSARI,Fermata Autobus
ASPO359,Fermata di 359 - V.le A.Moro fr.ENI,40.94474,9.49819,OLBIA,Fermata Autobus
ASPO1057,Fermata di 1057 - Via Nazionale fr.1,40.82216,9.46262,OLBIA,Fermata Autobus
B_22169,Fermata di BONORVA SCUOLE,40.420771,8.763821,BONORVA,Fermata Autobus
ASPO635,Fermata di 635 - Santa Lucia V.Pegaso,40.93018,9.45687,OLBIA,Fermata Autobus
ATPSS_644,Fermata di Sp132  La Crucca 309,40.76141,8.458857,SASSARI,Fermata Autobus
ATPSS_753,Fermata di Via Lobina 8,40.746804,8.53846,SASSARI,Fermata Autobus
B_7196,Fermata di POZZO SAN NICOLA,40.837197,8.245051,STINTINO,Fermata Autobus
800363,Fermata di Ittiri (Municipio),40.594106,8.568907,ITTIRI,Fermata Autobus
71733,Fermata di NULE VIA CAGLIARI 76,40.4647,9.194629,NULE,Fermata Autobus
202030,Fermata di V.Veneto v.le delle Grazie,40.582422,9.001267,OZIERI,Fermata Autobus
L093-14307,Fermata di Via Romita 5,40.89763422,9.11048722,TEMPIO PAUSANIA,Fermata Autobus
B_61941,Fermata di S.TEODORO VIA DEGLI ASFODELI 28,40.768083,9.669045,SAN TEODORO,Fermata Autobus
ATPSS_791,Fermata di Via Flumendosa Fr.2,40.747196,8.546577,SASSARI,Fermata Autobus
B_7136,Fermata di PORTO TORRES CASE POPOLARI-GRANAI,40.829961,8.404766,PORTO TORRES,Fermata Autobus
B_22135,Fermata di USINI VIA NENNI 41,40.662891,8.536906,USINI,Fermata Autobus
ATPSS_50,Fermata di C.So Trinità 53,40.730436,8.559753,SASSARI,Fermata Autobus
800258,Fermata di Vigne,40.879243,9.127268,TEMPIO PAUSANIA,Fermata Autobus
ATPSS_309,"Fermata di Via Pasubio 20, Casa Riposo",40.728863,8.572487,SASSARI,Fermata Autobus
ATPSS_426,Fermata di Via P. Niedda N. 37 (Vialetto),40.73053,8.54257,SASSARI,Fermata Autobus
B_22221,Fermata di VIA PATTADA INCROCIO P.FERRO,40.6676172,8.2107172,ALGHERO,Fermata Autobus
B_7828,Fermata di SP 117 KM 2.000,40.6613778,8.2112285,ALGHERO,Fermata Autobus
800055,Fermata di Perfugas (V.Mazzini/V.Sauro),40.832892,8.887955,PERFUGAS,Fermata Autobus
ATPSS_383,"Fermata di Ss 127/Bis, Serre",40.71319,8.518556,SASSARI,Fermata Autobus
ATPSS_560,Fermata di Sp18 Fr. 121,40.73394,8.464838,SASSARI,Fermata Autobus
ASPO573,Fermata di 573 - Via San Vittore,40.962349,9.4553,OLBIA,Fermata Autobus
ATPSS_359,Fermata di Via Gramsci 19,40.722242,8.576797,SASSARI,Fermata Autobus
B_7100,Fermata di POZZOMAGGIORE VIA GRANDE FR.222,40.395038,8.655471,POZZOMAGGIORE,Fermata Autobus
B_61839,Fermata di SAN PANTALEO VIA VERDI,41.04805,9.469378,OLBIA,Fermata Autobus
ASPO707,Fermata di 707 - Corso Vittorio Veneto J.Cook,40.91926,9.46967,OLBIA,Fermata Autobus
B_22272,Fermata di ALGHERO VIA DEGLI ORTI FR.30,40.564681,8.318478,ALGHERO,Fermata Autobus
ASPO835,Fermata di 835 - SS125 Olbia Mare,40.90814,9.52161,OLBIA,Fermata Autobus
ASPO364,Fermata di 364 - V.le A.Moro 511,40.95948,9.49363,OLBIA,Fermata Autobus
