Data,Porto/Aeroporto,Nome,Arrivi di Linea,Arrivi non di Linea,Partenze di Linea,Partenze non di Linea
2023-08-28,Porto,Olbia,0.0,13388.0,0.0,23239.0
2023-08-27,Porto,Olbia,0.0,10623.0,0.0,20170.0
2023-08-27,Aeroporto,Olbia,9610.0,939.0,12841.0,1019.0
2023-08-27,Aeroporto,Alghero,2449.0,215.0,3433.0,203.0
2023-08-26,Porto,Olbia,0.0,12510.0,0.0,20887.0
2023-08-26,Aeroporto,Olbia,12140.0,1169.0,13978.0,1244.0
2023-08-26,Aeroporto,Alghero,2736.0,0.0,3527.0,3.0
2023-08-25,Porto,Olbia,0.0,9885.0,0.0,19271.0
2023-08-25,Aeroporto,Olbia,9707.0,531.0,12542.0,690.0
2023-08-25,Aeroporto,Alghero,3675.0,0.0,4409.0,3.0
2023-08-24,Porto,Olbia,0.0,8416.0,0.0,17173.0
2023-08-24,Aeroporto,Olbia,7787.0,115.0,10661.0,131.0
2023-08-24,Aeroporto,Alghero,2350.0,0.0,2991.0,2.0
2023-08-23,Porto,Olbia,0.0,8077.0,0.0,17797.0
2023-08-23,Aeroporto,Olbia,8392.0,48.0,10751.0,94.0
2023-08-23,Aeroporto,Alghero,1665.0,181.0,2123.0,168.0
2023-08-22,Porto,Olbia,0.0,10245.0,0.0,16462.0
2023-08-22,Aeroporto,Olbia,8678.0,233.0,11188.0,244.0
2023-08-22,Aeroporto,Alghero,2878.0,0.0,3516.0,0.0
2023-08-21,Porto,Olbia,0.0,12731.0,0.0,17932.0
2023-08-21,Aeroporto,Olbia,9285.0,240.0,11096.0,297.0
2023-08-21,Aeroporto,Alghero,3458.0,1.0,4071.0,2.0
2023-08-20,Porto,Olbia,0.0,12646.0,0.0,20634.0
2023-08-20,Aeroporto,Olbia,11268.0,838.0,13024.0,1026.0
2023-08-20,Aeroporto,Alghero,3432.0,197.0,4248.0,191.0
2023-08-19,Porto,Olbia,0.0,14144.0,0.0,19491.0
2023-08-19,Aeroporto,Olbia,12460.0,1212.0,13766.0,1312.0
2023-08-19,Aeroporto,Alghero,2986.0,5.0,3474.0,0.0
2023-08-18,Porto,Olbia,0.0,12849.0,0.0,18055.0
2023-08-18,Aeroporto,Olbia,10836.0,565.0,12103.0,659.0
2023-08-18,Aeroporto,Alghero,3582.0,0.0,3920.0,7.0
2023-08-17,Porto,Olbia,0.0,13431.0,0.0,16434.0
2023-08-17,Aeroporto,Olbia,8985.0,114.0,10581.0,192.0
2023-08-17,Aeroporto,Alghero,2941.0,0.0,2993.0,2.0
2023-08-16,Porto,Olbia,0.0,12792.0,0.0,15761.0
2023-08-16,Aeroporto,Olbia,9414.0,98.0,10776.0,110.0
