,year,revenue
0,2014-03-31,307801.48
1,2014-06-30,861178.1699999999
2,2014-09-30,1063223.8399999999
3,2014-12-31,1133509.3
4,2015-03-31,841761.9
5,2015-06-30,701788.27
6,2015-09-30,1157225.09
7,2015-12-31,1534184.55
8,2016-03-31,844649.8200000001
9,2016-06-30,612113.05
10,2016-09-30,927063.96
11,2016-12-31,1492971.7999999998
12,2017-03-31,1162386.7000000002
13,2017-06-30,750266.8500000001
14,2017-09-30,1146691.71
15,2017-12-31,1493266.2199999997
16,2018-03-31,605194.81
17,2018-06-30,600170.1699999999
18,2018-09-30,2504896.44
19,2018-12-31,1725623.43
20,2019-03-31,1207527.67
21,2019-06-30,662478.17
22,2019-09-30,4940754.62
23,2019-12-31,1467561.5099999998
24,2020-03-31,882787.5599999999
25,2020-06-30,455953.91
26,2020-09-30,2254753.87
27,2020-12-31,1170900.69
28,2021-03-31,509403.89
29,2021-06-30,589663.53
30,2021-09-30,1257807.31
31,2021-12-31,1350740.4
32,2022-03-31,781360.53
