,year,revenue
0,2014-03-31,282703.08999999997
1,2014-06-30,396765.88
2,2014-09-30,653145.1
3,2014-12-31,627096.51
4,2015-03-31,731566.6399999999
5,2015-06-30,1005902.5800000001
6,2015-09-30,1166984.0
7,2015-12-31,1298311.1400000001
8,2016-03-31,1721404.72
9,2016-06-30,1895262.1099999999
10,2016-09-30,1885508.0799999998
11,2016-12-31,1826503.06
12,2017-03-31,2107961.51
13,2017-06-30,2245044.0700000003
14,2017-09-30,2416536.64
15,2017-12-31,2452117.02
16,2018-03-31,2107743.9699999997
17,2018-06-30,2125116.01
18,2018-09-30,2092537.7000000002
19,2018-12-31,1950548.65
20,2019-03-31,2052647.12
21,2019-06-30,1823202.02
22,2019-09-30,1483071.18
23,2019-12-31,1462509.31
24,2020-03-31,1581087.62
25,2020-06-30,3000092.88
26,2020-09-30,1727871.52
27,2020-12-31,1881887.8
28,2021-03-31,2258617.01
29,2021-06-30,1923040.0799999998
30,2021-09-30,1620445.53
31,2021-12-31,1704044.8499999999
32,2022-03-31,1448752.71
