,year,revenue
0,2014-01-31,6863.4400000000005
1,2014-02-28,141796.91
2,2014-03-31,470230.18
3,2014-04-30,371651.71
4,2014-05-31,315736.45
5,2014-06-30,198836.44
6,2014-07-31,469731.71
7,2014-08-31,265417.48
8,2014-09-30,398348.58
9,2014-10-31,305739.68
10,2014-11-30,286355.47000000003
11,2014-12-31,285724.14
12,2015-01-31,576012.2
13,2015-02-28,488710.97000000003
14,2015-03-31,596746.87
15,2015-04-30,544348.45
16,2015-05-31,487702.89
17,2015-06-30,429286.14
18,2015-07-31,539190.64
19,2015-08-31,459302.16
20,2015-09-30,417453.51
21,2015-10-31,382045.26
22,2015-11-30,310920.15
23,2015-12-31,584055.66
24,2016-01-31,718916.86
25,2016-02-29,256093.72999999998
26,2016-03-31,332647.66000000003
27,2016-04-30,444462.14
28,2016-05-31,458138.26
29,2016-06-30,404977.32
30,2016-07-31,561326.1
31,2016-08-31,340207.49
32,2016-09-30,529406.63
33,2016-10-31,431911.77999999997
34,2016-11-30,358150.66
35,2016-12-31,509105.61
36,2017-01-31,689848.62
37,2017-02-28,327752.62
38,2017-03-31,421416.03
39,2017-04-30,414509.74
40,2017-05-31,366087.71
41,2017-06-30,340834.91000000003
42,2017-07-31,625094.91
43,2017-08-31,436057.87
44,2017-09-30,448299.39
45,2017-10-31,389249.28
46,2017-11-30,403076.03
47,2017-12-31,676222.17
48,2018-01-31,854543.53
49,2018-02-28,182176.31
50,2018-03-31,341373.63
51,2018-04-30,321175.19
52,2018-05-31,396110.52
53,2018-06-30,381089.56
54,2018-07-31,503632.6
55,2018-08-31,392962.34
56,2018-09-30,394864.76
57,2018-10-31,315700.56
58,2018-11-30,339425.12
59,2018-12-31,320885.13
60,2019-01-31,846271.93
61,2019-02-28,237990.91999999998
62,2019-03-31,262399.64
63,2019-04-30,130679.27
64,2019-05-31,131540.27
65,2019-06-30,103417.64
66,2019-07-31,573772.79
67,2019-08-31,254859.4
68,2019-09-30,191433.06
69,2019-10-31,133833.69999999998
70,2019-11-30,114978.8
71,2019-12-31,216075.41999999998
72,2020-01-31,368359.07
73,2020-02-29,152878.58
74,2020-03-31,107350.95
75,2020-04-30,507982.07
76,2020-05-31,714875.51
77,2020-06-30,509121.69
78,2020-07-31,186785.32
79,2020-08-31,259979.55
80,2020-09-30,227387.68
81,2020-10-31,232932.72
82,2020-11-30,281042.27
83,2020-12-31,275545.76
84,2021-01-31,527328.22
85,2021-02-28,215185.48
86,2021-03-31,243257.05
87,2021-04-30,171086.47
88,2021-05-31,364878.76
89,2021-06-30,173273.25
90,2021-07-31,230836.03
91,2021-08-31,146709.43
92,2021-09-30,165473.2
93,2021-10-31,199773.99
94,2021-11-30,249497.74
95,2021-12-31,215405.71
96,2022-01-31,334024.68
97,2022-02-28,96624.89
98,2022-03-31,105283.74
