Datetime,totale
2014-01-31,3188.02
2014-02-28,96599.77
2014-03-31,182915.3
2014-04-30,106539.31999999999
2014-05-31,127715.16
2014-06-30,162511.4
2014-07-31,199508.46
2014-08-31,229619.16
2014-09-30,224017.47999999998
2014-10-31,186143.32
2014-11-30,234565.21
2014-12-31,206387.98
2015-01-31,230402.78
2015-02-28,172055.56
2015-03-31,329108.3
2015-04-30,312964.17
2015-05-31,309468.89
2015-06-30,383469.52
2015-07-31,401846.08999999997
2015-08-31,369777.04
2015-09-30,395360.87
2015-10-31,376419.71
2015-11-30,426917.95
2015-12-31,494973.48
2016-01-31,543945.63
2016-02-29,535384.86
2016-03-31,642074.23
2016-04-30,663136.91
2016-05-31,632598.84
2016-06-30,599526.36
2016-07-31,724637.65
2016-08-31,604881.19
2016-09-30,555989.24
2016-10-31,504857.35
2016-11-30,638112.53
2016-12-31,683533.18
2017-01-31,759471.16
2017-02-28,631252.63
2017-03-31,717237.72
2017-04-30,779545.15
2017-05-31,732920.4299999999
2017-06-30,732578.49
2017-07-31,883662.49
2017-08-31,735613.98
2017-09-30,797260.17
2017-10-31,891623.8
2017-11-30,805558.49
2017-12-31,754934.73
2018-01-31,835210.7
2018-02-28,515441.52
2018-03-31,757091.75
2018-04-30,622555.3099999999
2018-05-31,674895.35
2018-06-30,827665.35
2018-07-31,814277.37
2018-08-31,629179.96
2018-09-30,649080.37
2018-10-31,732785.34
2018-11-30,605065.42
2018-12-31,612697.89
2019-01-31,739439.73
2019-02-28,610227.62
2019-03-31,702979.77
2019-04-30,708924.89
2019-05-31,677228.62
2019-06-30,437048.51
2019-07-31,609515.32
2019-08-31,472256.69
2019-09-30,401299.17
2019-10-31,542246.3
2019-11-30,492672.93
2019-12-31,427590.08
2020-01-31,495597.61
2020-02-29,454693.68
2020-03-31,630796.33
2020-04-30,954852.8099999999
2020-05-31,1150386.5
2020-06-30,894853.57
2020-07-31,687405.89
2020-08-31,487386.3
2020-09-30,553079.33
2020-10-31,531739.65
2020-11-30,610337.83
2020-12-31,739810.3200000001
2021-01-31,814191.95
2021-02-28,603193.05
2021-03-31,841232.01
2021-04-30,699494.82
2021-05-31,719593.94
2021-06-30,503951.32
2021-07-31,513301.14
2021-08-31,587279.98
2021-09-30,519864.41
2021-10-31,576174.03
2021-11-30,709360.12
2021-12-31,418510.7
2022-01-31,462050.27
2022-02-28,507005.09
2022-03-31,479697.35
2022-04-30,77616.84999999999
