,year,revenue
71,2015-05-17,77538.12
72,2015-05-24,55147.09
73,2015-05-31,40759.8
74,2015-06-07,65904.8
75,2015-06-14,55413.97
76,2015-06-21,49629.87
77,2015-06-28,86760.1
78,2015-07-05,63380.76
79,2015-07-12,60388.69
80,2015-07-19,68548.11
81,2015-07-26,72701.11
82,2015-08-02,72081.07
83,2015-08-09,86471.91
84,2015-08-16,109294.54000000001
85,2015-08-23,107529.14
86,2015-08-30,94359.54000000001
87,2015-09-06,94710.5
88,2015-09-13,111168.55
89,2015-09-20,102877.56
90,2015-09-27,81191.3
91,2015-10-04,89891.36
92,2015-10-11,93159.04
93,2015-10-18,92888.89
94,2015-10-25,88864.42
95,2015-11-01,48936.43
96,2015-11-08,119040.89
97,2015-11-15,94228.0
98,2015-11-22,76024.75
99,2015-11-29,186155.18
100,2015-12-06,165107.77
101,2015-12-13,202651.16999999998
102,2015-12-20,198882.41999999998
103,2015-12-27,63438.61
104,2016-01-03,93341.36
105,2016-01-10,96215.53
106,2016-01-17,64705.67
107,2016-01-24,39401.31
108,2016-01-31,44871.590000000004
109,2016-02-07,83694.07
110,2016-02-14,59757.72
111,2016-02-21,52475.94
112,2016-02-28,87351.75
113,2016-03-06,74742.13
114,2016-03-13,83581.35
115,2016-03-20,66488.01
116,2016-03-27,30899.920000000002
117,2016-04-03,45298.4
118,2016-04-10,52301.57
119,2016-04-17,47823.82
120,2016-04-24,31751.36
121,2016-05-01,35384.21
122,2016-05-08,46076.15
123,2016-05-15,22360.89
124,2016-05-22,39410.85
125,2016-05-29,66224.08
126,2016-06-05,60154.81
127,2016-06-12,53868.82
128,2016-06-19,52418.64
129,2016-06-26,46428.75
130,2016-07-03,72826.36
131,2016-07-10,85317.27
132,2016-07-17,58368.11
133,2016-07-24,67921.54000000001
134,2016-07-31,49736.84
135,2016-08-07,100492.96
136,2016-08-14,72347.43
137,2016-08-21,60048.92
138,2016-08-28,56045.469999999994
139,2016-09-04,60495.119999999995
140,2016-09-11,80949.24
141,2016-09-18,94334.17
142,2016-09-25,53141.0
143,2016-10-02,69816.83
144,2016-10-09,86760.1
145,2016-10-16,54127.26
146,2016-10-23,62651.29
147,2016-10-30,49554.28
148,2016-11-06,64392.95
149,2016-11-13,45726.03
150,2016-11-20,46509.79
151,2016-11-27,90296.88
152,2016-12-04,119224.01999999999
153,2016-12-11,257752.41
154,2016-12-18,391523.9
155,2016-12-25,129224.15000000001
156,2017-01-01,93838.31999999999
157,2017-01-08,88298.16
158,2017-01-15,112429.88
159,2017-01-22,81811.33
160,2017-01-29,103474.14
161,2017-02-05,76917.13
162,2017-02-12,100269.19
163,2017-02-19,113369.20000000001
164,2017-02-26,97701.75
165,2017-03-05,74007.48999999999
166,2017-03-12,97849.65
167,2017-03-19,86000.33
168,2017-03-26,69233.91
169,2017-04-02,68598.06
170,2017-04-09,50956.979999999996
171,2017-04-16,60604.55
172,2017-04-23,51304.94
173,2017-04-30,46547.45
174,2017-05-07,44595.68
175,2017-05-14,38249.67
176,2017-05-21,56343.22
177,2017-05-28,141885.08
178,2017-06-04,57652.32
179,2017-06-11,40955.51
180,2017-06-18,51120.99
181,2017-06-25,37339.8
182,2017-07-02,61807.76
183,2017-07-09,71197.16
184,2017-07-16,68890.07
185,2017-07-23,53632.76
186,2017-07-30,46929.25
187,2017-08-06,100229.9
188,2017-08-13,104045.03
189,2017-08-20,72259.01
190,2017-08-27,128013.29000000001
191,2017-09-03,104091.44
192,2017-09-10,135127.8
193,2017-09-17,99495.25
194,2017-09-24,88038.89
195,2017-10-01,80557.08
196,2017-10-08,74428.84
197,2017-10-15,69912.88
198,2017-10-22,66131.05
199,2017-10-29,34668.95
200,2017-11-05,58479.73
201,2017-11-12,46918.6
202,2017-11-19,61400.05
203,2017-11-26,127797.7
204,2017-12-03,157839.35
205,2017-12-10,265655.04
206,2017-12-17,414786.72000000003
207,2017-12-24,81433.09
208,2017-12-31,19302.22
209,2018-01-07,74959.62
210,2018-01-14,37459.91
211,2018-01-21,73601.4
212,2018-01-28,44522.54
213,2018-02-04,70968.2
214,2018-02-11,48611.4
215,2018-02-18,10508.57
216,2018-02-25,37078.659999999996
217,2018-03-04,44030.5
218,2018-03-11,43506.55
219,2018-03-18,50078.5
220,2018-03-25,42953.37
221,2018-04-01,30148.09
222,2018-04-08,34693.51
223,2018-04-15,34848.509999999995
224,2018-04-22,31233.68
225,2018-04-29,19077.89
226,2018-05-06,23880.11
227,2018-05-13,29271.260000000002
228,2018-05-20,52852.55
229,2018-05-27,48817.45
230,2018-06-03,40777.54
231,2018-06-10,40657.200000000004
232,2018-06-17,68672.83
233,2018-06-24,88475.0
234,2018-07-01,93689.29
235,2018-07-08,100405.09
236,2018-07-15,159764.39
237,2018-07-22,201390.12
238,2018-07-29,197711.95
239,2018-08-05,207494.61000000002
240,2018-08-12,158469.49
241,2018-08-19,168274.5
242,2018-08-26,274548.86
243,2018-09-02,248010.43
244,2018-09-09,223985.14
245,2018-09-16,183033.75
246,2018-09-23,172477.16999999998
247,2018-09-30,199321.79
248,2018-10-07,125511.89
249,2018-10-14,153143.84
250,2018-10-21,117400.48999999999
251,2018-10-28,92974.85
252,2018-11-04,85036.74
253,2018-11-11,77224.71
254,2018-11-18,104090.59
255,2018-11-25,117941.37
256,2018-12-02,100482.61
257,2018-12-09,235967.64
258,2018-12-16,325252.87
259,2018-12-23,135784.67
260,2018-12-30,45435.68
261,2019-01-06,98043.69
262,2019-01-13,169708.32
263,2019-01-20,163303.64
264,2019-01-27,99934.89
265,2019-02-03,70264.38
266,2019-02-10,66425.23
267,2019-02-17,94538.29
268,2019-02-24,114706.15
269,2019-03-03,72343.88
270,2019-03-10,66712.31
271,2019-03-17,80965.08
272,2019-03-24,61438.8
273,2019-03-31,58518.49
274,2019-04-07,60479.29
275,2019-04-14,67097.65
276,2019-04-21,63185.090000000004
277,2019-04-28,39459.7
278,2019-05-05,67039.53
279,2019-05-12,56294.09
280,2019-05-19,62720.35
281,2019-05-26,47181.95
282,2019-06-02,44805.54
283,2019-06-09,44558.02
284,2019-06-16,47404.92
285,2019-06-23,30054.210000000003
286,2019-06-30,32197.829999999998
287,2019-07-07,67227.56
288,2019-07-14,221623.99
289,2019-07-21,441443.04000000004
290,2019-07-28,368068.42
291,2019-08-04,619204.91
292,2019-08-11,598543.65
293,2019-08-18,325273.86
294,2019-08-25,453239.95
295,2019-09-01,577205.05
296,2019-09-08,469337.25
297,2019-09-15,351443.62
298,2019-09-22,239222.78
299,2019-09-29,185814.64
300,2019-10-06,173992.58000000002
301,2019-10-13,217305.63
302,2019-10-20,121272.13
303,2019-10-27,86050.01
304,2019-11-03,111655.68
305,2019-11-10,91467.62
306,2019-11-17,122964.63
307,2019-11-24,81476.48999999999
308,2019-12-01,135739.64
309,2019-12-08,99098.72
310,2019-12-15,127461.77
311,2019-12-22,92427.12999999999
312,2019-12-29,25774.59
313,2020-01-05,51210.78
314,2020-01-12,159242.05
315,2020-01-19,94705.86
316,2020-01-26,117419.87000000001
317,2020-02-02,81737.08
318,2020-02-09,112149.62
319,2020-02-16,86403.69
320,2020-02-23,48814.99
321,2020-03-01,43511.45
322,2020-03-08,39277.68
323,2020-03-15,18920.98
324,2020-03-22,12517.65
325,2020-03-29,18133.11
326,2020-04-05,31764.47
327,2020-04-12,35139.15
328,2020-04-19,45096.99
329,2020-04-26,47636.590000000004
330,2020-05-03,68085.54000000001
331,2020-05-10,34206.38
332,2020-05-17,28831.61
333,2020-05-24,36535.04
334,2020-05-31,4955.87
335,2020-06-07,26636.94
336,2020-06-14,43676.55
337,2020-06-21,28738.550000000003
338,2020-06-28,24092.69
339,2020-07-05,34441.34
340,2020-07-12,25547.54
341,2020-07-19,108669.06
342,2020-07-26,83107.87
343,2020-08-02,131666.33
344,2020-08-09,174135.86
345,2020-08-16,91535.31
346,2020-08-23,150376.64
347,2020-08-30,260573.12
348,2020-09-06,296159.28
349,2020-09-13,259023.86
350,2020-09-20,204218.97
351,2020-09-27,316274.72000000003
352,2020-10-04,246323.37
353,2020-10-11,163183.02
354,2020-10-18,204628.33000000002
355,2020-10-25,50195.86
356,2020-11-01,45102.75
357,2020-11-08,36785.270000000004
358,2020-11-15,10103.58
359,2020-11-22,73518.45999999999
360,2020-11-29,124807.0
361,2020-12-06,81910.39
362,2020-12-13,83236.14
363,2020-12-20,105689.8
364,2020-12-27,21041.4
365,2021-01-03,72904.97
366,2021-01-10,46212.61
367,2021-01-17,67923.44
368,2021-01-24,38187.71
369,2021-01-31,41622.16
370,2021-02-07,48727.659999999996
371,2021-02-14,30184.92
372,2021-02-21,27213.590000000004
373,2021-02-28,48120.740000000005
374,2021-03-07,19316.69
375,2021-03-14,24202.41
376,2021-03-21,39281.77
377,2021-03-28,40290.7
378,2021-04-04,29522.05
379,2021-04-11,49328.86
380,2021-04-18,55477.02
381,2021-04-25,34226.31
382,2021-05-02,65510.46
383,2021-05-09,40476.0
384,2021-05-16,19652.07
385,2021-05-23,21867.75
386,2021-05-30,26568.46
387,2021-06-06,40376.1
388,2021-06-13,61493.380000000005
389,2021-06-20,73047.42
390,2021-06-27,65033.72
391,2021-07-04,89440.51000000001
392,2021-07-11,58876.81
393,2021-07-18,110853.34
394,2021-07-25,61919.1
395,2021-08-01,95356.45
396,2021-08-08,89804.56
397,2021-08-15,43804.82
398,2021-08-22,40301.61
399,2021-08-29,109194.67
400,2021-09-05,163901.83
401,2021-09-12,124845.47
402,2021-09-19,136024.82
403,2021-09-26,91408.13
404,2021-10-03,108683.79
405,2021-10-10,156141.91999999998
406,2021-10-17,86576.44
407,2021-10-24,142934.66
408,2021-10-31,55552.08
409,2021-11-07,90775.82
410,2021-11-14,114498.73
411,2021-11-21,93084.28
412,2021-11-28,148271.49
413,2021-12-05,108278.81
414,2021-12-12,129102.44
415,2021-12-19,125427.83
416,2021-12-26,31054.66
417,2022-01-02,31583.81
418,2022-01-09,74184.32
419,2022-01-16,50908.420000000006
420,2022-01-23,37531.130000000005
421,2022-01-30,66365.46
422,2022-02-06,101427.93
423,2022-02-13,91828.95
424,2022-02-20,66299.96
425,2022-02-27,22728.47
426,2022-03-06,75572.02
427,2022-03-13,38090.03
428,2022-03-20,52066.32
429,2022-03-27,65378.119999999995
430,2022-04-03,42074.08
431,2022-04-10,6233.05
432,2022-04-17,0.0
