,year,revenue
0,2014-01-05,0.0
1,2014-01-12,0.0
2,2014-01-19,2164.92
3,2014-01-26,6385.860000000001
4,2014-02-02,8880.99
5,2014-02-09,37168.17
6,2014-02-16,27344.03
7,2014-02-23,14605.340000000002
8,2014-03-02,27084.510000000002
9,2014-03-09,35237.66
10,2014-03-16,49458.22
11,2014-03-23,38948.84
12,2014-03-30,50386.89
13,2014-04-06,178341.24
14,2014-04-13,91568.85
15,2014-04-20,63103.47
16,2014-04-27,22322.940000000002
17,2014-05-04,73312.13
18,2014-05-11,62712.42
19,2014-05-18,51412.12
20,2014-05-25,80945.42
21,2014-06-01,49669.439999999995
22,2014-06-08,58596.28
23,2014-06-15,62862.24
24,2014-06-22,35267.67999999999
25,2014-06-29,37861.06
26,2014-07-06,60746.72
27,2014-07-13,65663.83
28,2014-07-20,63555.67
29,2014-07-27,64764.89
30,2014-08-03,76150.29000000001
31,2014-08-10,72498.89
32,2014-08-17,53454.01
33,2014-08-24,68746.8
34,2014-08-31,92295.05
35,2014-09-07,163463.28
36,2014-09-14,108225.59
37,2014-09-21,98782.70000000001
38,2014-09-28,64648.64
39,2014-10-05,61904.1
40,2014-10-12,85661.95999999999
41,2014-10-19,48354.87
42,2014-10-26,60723.520000000004
43,2014-11-02,55509.51
44,2014-11-09,38985.68
45,2014-11-16,47848.39
46,2014-11-23,75784.88
47,2014-11-30,122400.28
48,2014-12-07,158293.46
49,2014-12-14,198610.35
50,2014-12-21,156398.45
51,2014-12-28,20721.57
52,2015-01-04,59851.07
53,2015-01-11,85637.94
54,2015-01-18,58911.2
55,2015-01-25,55870.82
56,2015-02-01,42071.91
57,2015-02-08,65175.88
58,2015-02-15,58677.6
59,2015-02-22,40129.68
60,2015-03-01,141218.12
61,2015-03-08,61241.23
62,2015-03-15,63874.979999999996
63,2015-03-22,65413.86
64,2015-03-29,41299.47
65,2015-04-05,53317.979999999996
66,2015-04-12,42865.76
67,2015-04-19,40483.35
68,2015-04-26,36160.35
69,2015-05-03,24926.95
70,2015-05-10,76958.34
