,year,revenue
0,2014-03-31,618890.53
1,2014-06-30,886224.6000000001
2,2014-09-30,1133497.77
3,2014-12-31,877819.29
4,2015-03-31,1661470.04
5,2015-06-30,1461337.48
6,2015-09-30,1415946.31
7,2015-12-31,1277021.07
8,2016-03-31,1307658.25
9,2016-06-30,1307577.72
10,2016-09-30,1430940.22
11,2016-12-31,1299168.0499999998
12,2017-03-31,1439017.27
13,2017-06-30,1121432.3599999999
14,2017-09-30,1509452.17
15,2017-12-31,1468547.48
16,2018-03-31,1378093.4700000002
17,2018-06-30,1098375.27
18,2018-09-30,1291459.7
19,2018-12-31,976010.8099999999
20,2019-03-31,1346662.4900000002
21,2019-06-30,365637.18
22,2019-09-30,1020065.25
23,2019-12-31,464887.92
24,2020-03-31,628588.6
25,2020-06-30,1731979.27
26,2020-09-30,674152.55
27,2020-12-31,789520.75
28,2021-03-31,985770.75
29,2021-06-30,709238.48
30,2021-09-30,543018.6599999999
31,2021-12-31,664677.44
32,2022-03-31,535933.31
