Datetime,totale
2014-01-31,17431.77
2014-02-28,95685.56999999999
2014-03-31,194684.14
2014-04-30,363993.71
2014-05-31,296445.76
2014-06-30,200738.7
2014-07-31,294998.32
2014-08-31,319538.9
2014-09-30,448686.62
2014-10-31,285995.94
2014-11-30,297610.84
2014-12-31,549902.52
2015-01-31,270301.2
2015-02-28,307996.32
2015-03-31,263464.38
2015-04-30,161859.59
2015-05-31,268031.32
2015-06-30,271897.36
2015-07-31,311402.11
2015-08-31,425204.93
2015-09-30,420618.05
2015-10-31,354745.44
2015-11-30,505402.86
2015-12-31,674036.25
2016-01-31,276908.91000000003
2016-02-29,296053.66
2016-03-31,271687.25
2016-04-30,179257.37
2016-05-31,203076.05
2016-06-30,229779.63
2016-07-31,292809.4
2016-08-31,312029.22
2016-09-30,322225.34
2016-10-31,279455.89
2016-11-30,273767.55
2016-12-31,939748.36
2017-01-31,417592.13
2017-02-28,390985.46
2017-03-31,353809.11
2017-04-30,229013.6
2017-05-31,313401.94
2017-06-30,207851.31
2017-07-31,273267.62
2017-08-31,447039.13
2017-09-30,426384.96
2017-10-31,277276.23
2017-11-30,373273.43
2017-12-31,842716.5599999999
2018-01-31,249936.29
2018-02-28,162690.45
2018-03-31,192568.07
2018-04-30,137001.53
2018-05-31,165667.78
2018-06-30,297500.86
2018-07-31,737644.88
2018-08-31,933096.69
2018-09-30,834154.87
2018-10-31,517163.25
2018-11-30,421251.16
2018-12-31,787209.02
2019-01-31,562134.97
2019-02-28,350261.71
2019-03-31,295130.99
2019-04-30,251088.75
2019-05-31,245093.7
2019-06-30,166295.72
2019-07-31,1304541.15
2019-08-31,2321681.69
2019-09-30,1314531.78
2019-10-31,643075.21
2019-11-30,446672.63
2019-12-31,377813.67
2020-01-31,475615.02999999997
2020-02-29,315599.57
2020-03-31,91572.95999999999
2020-04-30,190174.16
2020-05-31,139353.94
2020-06-30,126425.81
2020-07-31,366231.25
2020-08-31,744662.0
2020-09-30,1143860.62
2020-10-31,581780.8
2020-11-30,273004.54
2020-12-31,316115.35
2021-01-31,220170.52
2021-02-28,154246.91
2021-03-31,134986.46
2021-04-30,218591.82
2021-05-31,132760.41
2021-06-30,238311.3
2021-07-31,391228.62
2021-08-31,342640.16000000003
2021-09-30,523938.52999999997
2021-10-31,488834.88
2021-11-30,469943.62
2021-12-31,391961.9
2022-01-31,241191.51
2022-02-28,287189.87
2022-03-31,252979.15
2022-04-30,19500.08
