,year,revenue
0,2014-01-05,0.0
1,2014-01-12,0.0
2,2014-01-19,0.0
3,2014-01-26,3188.02
4,2014-02-02,637.49
5,2014-02-09,43972.37
6,2014-02-16,21783.29
7,2014-02-23,15440.55
8,2014-03-02,19105.989999999998
9,2014-03-09,25111.98
10,2014-03-16,64976.67
11,2014-03-23,41724.09
12,2014-03-30,42058.119999999995
13,2014-04-06,34385.53
14,2014-04-13,23058.96
15,2014-04-20,23477.85
16,2014-04-27,22460.760000000002
17,2014-05-04,25482.44
18,2014-05-11,30953.809999999998
19,2014-05-18,34461.54
20,2014-05-25,21748.77
21,2014-06-01,34844.43
22,2014-06-08,16781.71
23,2014-06-15,35260.04
24,2014-06-22,37914.82
25,2014-06-29,41416.39
26,2014-07-06,51168.89
27,2014-07-13,46334.600000000006
28,2014-07-20,46268.29
29,2014-07-27,39192.13
30,2014-08-03,61978.32000000001
31,2014-08-10,71317.23
32,2014-08-17,37483.9
33,2014-08-24,35130.01
34,2014-08-31,59477.600000000006
35,2014-09-07,59276.619999999995
36,2014-09-14,38940.100000000006
37,2014-09-21,55636.67
38,2014-09-28,53499.72
39,2014-10-05,51343.13
40,2014-10-12,32089.21
41,2014-10-19,38150.200000000004
42,2014-10-26,43990.94
43,2014-11-02,45632.979999999996
44,2014-11-09,40230.91
45,2014-11-16,46241.01
46,2014-11-23,52730.15
47,2014-11-30,86964.37
48,2014-12-07,74162.21
49,2014-12-14,37500.0
50,2014-12-21,53756.11
51,2014-12-28,22088.940000000002
52,2015-01-04,33763.33
53,2015-01-11,58585.76
54,2015-01-18,55798.09
55,2015-01-25,49519.61
56,2015-02-01,56482.520000000004
57,2015-02-08,28119.62
58,2015-02-15,55270.189999999995
59,2015-02-22,57069.66
60,2015-03-01,32651.120000000003
61,2015-03-08,60568.94
62,2015-03-15,94843.55
63,2015-03-22,85171.14
64,2015-03-29,69651.98999999999
65,2015-04-05,51215.97
66,2015-04-12,78524.23999999999
67,2015-04-19,99847.29
68,2015-04-26,52740.92
69,2015-05-03,60077.3
