,year,revenue
0,2014,3516432.19
1,2015,5815774.9
2,2016,5345344.24
3,2017,5538449.28
4,2018,4743939.25
5,2019,3197252.84
6,2020,3824241.17
7,2021,2902705.33
8,2022,570076.92
