,year,revenue
0,2014-01-05,0.0
1,2014-01-12,0.0
2,2014-01-19,4762.110000000001
3,2014-01-26,0.0
4,2014-02-02,2101.33
5,2014-02-09,46674.08
6,2014-02-16,42611.42
7,2014-02-23,13720.59
8,2014-03-02,53897.75
9,2014-03-09,85035.92
10,2014-03-16,114162.25
11,2014-03-23,88116.13
12,2014-03-30,138148.27
13,2014-04-06,132228.78
14,2014-04-13,113086.2
15,2014-04-20,75587.3
16,2014-04-27,52243.42
17,2014-05-04,59242.36
18,2014-05-11,101679.27
19,2014-05-18,71743.78
20,2014-05-25,72574.20999999999
21,2014-06-01,46582.53
22,2014-06-08,58775.15
23,2014-06-15,51130.0
24,2014-06-22,15616.98
25,2014-06-29,48037.770000000004
26,2014-07-06,141827.36
27,2014-07-13,113872.16
28,2014-07-20,88358.19
29,2014-07-27,92423.18
30,2014-08-03,79214.0
31,2014-08-10,93590.1
32,2014-08-17,28438.64
33,2014-08-24,63580.92
34,2014-08-31,51202.17
35,2014-09-07,140928.69
36,2014-09-14,114136.33
37,2014-09-21,53819.98
38,2014-09-28,75086.12
39,2014-10-05,71073.39
40,2014-10-12,70175.41
41,2014-10-19,103566.92
42,2014-10-26,43729.36
43,2014-11-02,57206.92
44,2014-11-09,39049.95
45,2014-11-16,69306.23
46,2014-11-23,70369.98
47,2014-11-30,81994.45
48,2014-12-07,92829.41
49,2014-12-14,97842.57
50,2014-12-21,44993.29
51,2014-12-28,10246.3
52,2015-01-04,121655.56
53,2015-01-11,142579.6
54,2015-01-18,119586.41
55,2015-01-25,140732.75
56,2015-02-01,102584.88
57,2015-02-08,121303.23
58,2015-02-15,126515.08
59,2015-02-22,160821.61
60,2015-03-01,84082.14
61,2015-03-08,151468.91
62,2015-03-15,164231.07
63,2015-03-22,120077.91
64,2015-03-29,83782.08
65,2015-04-05,147241.42
66,2015-04-12,139053.74
67,2015-04-19,95898.43
68,2015-04-26,154737.58
69,2015-05-03,122151.13
70,2015-05-10,156139.47
71,2015-05-17,156147.65
72,2015-05-24,67121.68
