,year,revenue
0,2014,1959710.5800000003
1,2015,4202764.359999999
2,2016,7328677.97
3,2017,9221659.240000002
4,2018,8275946.33
5,2019,6821429.629999999
6,2020,8190939.82
7,2021,7506147.47
8,2022,1526369.5599999998
